
# Tue 17:14:58 13-Feb-2018
# List of observations files:
#		daom_rup152.obs
# Config:	noche.cfg
# Parameters:	noche_all.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)
#
id              x        y      V     eV      BV     eBV       UB    eUB      VI     eVI
1          1275.55 324.921 10.365  0.271   2.157   0.594   -2.967  0.580   INDEF   INDEF  
2          3495.40 958.931 10.514  0.027   0.219   0.037   0.156   0.047   0.068   0.060  
3          2964.99 1609.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
4          909.226 1395.65 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
5          1053.11 3099.11 10.829  0.044   0.655   0.050   0.598   0.034   -3.780  0.065  
6          2183.87 3384.36 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
7          3500.77 2462.81 10.603  0.039   1.102   0.045   0.920   0.028   -6.443  0.119  
8          868.625 1378.57 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
9          3499.43 2921.26 11.336  0.031   0.777   0.039   -0.067  0.027   0.540   0.061  
10         65.633  3102.43 11.269  0.073   4.544   0.308   -4.463  0.333   0.342   0.108  
11         2959.58 3368.27 11.261  0.058   0.892   0.068   0.687   0.044   -3.951  0.217  
12         2953.06 1738.68 10.857  0.031   1.331   0.037   1.221   0.029   -4.574  0.130  
13         1628.68 2489.74 11.559  0.038   0.985   0.046   1.084   0.031   0.994   0.056  
14         2160.78 1482.30 10.695  0.039   2.034   0.050   0.914   0.041   -4.411  0.113  
15         1545.06 3791.15 12.076  0.038   0.624   0.054   0.111   0.051   0.680   0.056  
16         1886.47 3090.76 11.813  0.038   0.968   0.044   0.995   0.040   1.025   0.050  
17         3038.65 2857.16 16.949  0.040   -4.960  0.045   0.779   0.025   2.196   0.052  
18         2354.50 3498.59 20.185  0.052   -8.228  0.056   1.930   0.026   INDEF   INDEF  
19         1563.87 2795.53 12.459  0.031   0.322   0.036   0.355   0.027   0.409   0.048  
20         1157.32 3466.42 12.333  0.047   0.614   0.055   0.292   0.037   INDEF   INDEF  
21         874.197 1378.62 18.362  0.103   -6.905  0.115   INDEF   INDEF   0.439   0.136  
22         2833.85 3608.16 12.406  0.052   0.524   0.060   0.223   0.041   0.709   0.085  
23         2798.59 2494.36 10.795  0.046   1.764   0.055   1.756   0.036   -3.832  0.151  
24         3273.43 774.464 12.494  0.038   0.550   0.043   0.309   0.034   0.589   0.066  
25         1614.64 1830.76 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
26         2230.19 581.818 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
27         3538.18 1284.90 12.606  0.032   0.743   0.039   0.310   0.029   0.729   0.074  
28         1628.80 1500.65 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
29         3247.54 824.291 12.588  0.019   0.795   0.024   0.278   0.027   0.758   0.047  
30         560.950 1394.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
31         2398.88 2464.83 13.004  0.030   0.565   0.037   0.133   0.027   -6.267  0.123  
32         1290.97 3608.54 11.970  0.049   1.391   0.061   1.092   0.041   1.448   0.075  
33         1071.18 2376.38 12.276  0.029   1.195   0.035   1.101   0.028   1.284   0.051  
34         1046.47 1485.30 12.324  0.023   0.582   0.034   0.044   0.035   -6.159  0.041  
35         3401.27 2605.80 13.171  0.026   0.554   0.029   -0.019  0.015   0.598   0.036  
36         3587.13 339.887 12.910  0.038   0.693   0.045   0.420   0.037   0.804   0.064  
37         3367.43 153.727 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
38         941.929 1411.56 21.167  0.108   -10.591 0.121   INDEF   INDEF   1.641   0.122  
39         1402.19 1054.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
40         3852.42 1314.90 12.140  0.019   1.487   0.026   1.202   0.025   1.499   0.065  
41         3013.50 795.203 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
42         3205.81 2882.56 12.901  0.026   0.734   0.030   0.098   0.019   -6.406  0.047  
43         1337.84 1299.43 13.091  0.025   0.835   0.031   0.354   0.024   1.011   0.036  
44         3481.95 3243.07 13.458  0.023   0.590   0.030   -0.001  0.023   0.520   0.035  
45         3638.46 1111.57 12.538  0.014   1.530   0.018   1.485   0.024   1.418   0.061  
46         471.247 2824.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
47         1521.90 1227.68 11.860  0.030   1.885   0.040   1.696   0.038   -2.816  0.061  
48         2733.02 2086.28 13.095  0.027   0.864   0.033   0.756   0.027   0.857   0.056  
49         4025.52 892.727 21.952  0.202   -8.739  0.216   1.441   0.035   2.461   0.201  
50         2330.01 2132.87 13.492  0.023   0.569   0.029   0.110   0.022   0.708   0.033  
