id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
1,1294.42,4072.37,10.606,0.077,0.564,0.094,-0.044,0.06,0.607,0.103
2,2740.13,1647.57,10.917,0.037,0.086,0.047,-0.112,0.037,0.276,0.057
3,2538.87,2501.89,10.515,0.036,0.628,0.056,0.18,0.063,0.669,0.066
4,2591.56,2897.21,10.952,0.048,0.533,0.057,nan,nan,0.695,0.067
5,2881.37,808.969,10.991,0.04,0.235,0.057,nan,nan,0.45,0.062
8,1928.55,2407.18,11.324,0.03,0.297,0.051,0.078,0.053,0.628,0.052
11,1655.0,1938.11,11.664,0.038,0.406,0.046,0.066,0.033,0.676,0.05
13,3002.49,2732.65,10.607,0.057,1.309,0.064,1.211,0.03,0.621,0.103
14,891.906,1760.97,11.209,0.027,1.12,0.052,-0.905,0.056,0.514,0.031
16,3195.83,3736.45,11.869,0.039,0.345,0.056,-0.031,0.051,0.585,0.05
21,77.006,2847.54,12.505,0.065,-0.124,0.093,-0.412,0.083,0.957,0.083
22,3071.23,1893.45,12.157,0.03,0.237,0.035,0.086,0.024,0.456,0.035
24,1235.4,1846.04,12.031,0.025,0.385,0.036,0.065,0.041,0.672,0.038
26,3335.12,2868.68,12.051,0.03,0.743,0.041,0.111,0.035,0.689,0.061
29,4095.59,2412.8,11.421,0.059,1.493,0.072,1.263,0.059,1.635,0.085
33,669.282,3681.17,12.48,0.048,0.662,0.057,-0.071,0.039,0.605,0.061
37,765.497,1799.88,12.605,0.032,0.409,0.055,0.086,0.056,0.678,0.041
38,2889.8,2191.18,12.97,0.03,0.227,0.036,0.027,0.027,0.41,0.039
39,2666.32,2020.58,12.817,0.027,0.327,0.039,-0.053,0.037,0.484,0.037
40,3474.71,2757.86,12.895,0.031,0.575,0.042,-0.026,0.034,0.74,0.05
41,1833.51,12.052,12.567,0.042,0.902,0.064,-0.057,0.067,0.839,0.072
42,3771.76,724.832,12.609,0.019,0.763,0.033,0.41,0.048,0.838,0.069
43,4109.33,595.042,12.262,0.028,1.336,0.051,0.696,0.06,1.465,0.076
45,3114.53,3795.43,12.908,0.036,0.448,0.045,0.087,0.038,0.492,0.048
49,2598.67,2141.63,12.933,0.025,0.544,0.037,0.149,0.034,0.781,0.036
50,1775.08,2500.31,12.939,0.024,0.361,0.032,0.133,0.035,0.685,0.032
51,1729.79,360.453,12.94,0.046,0.357,0.066,-0.248,0.064,0.67,0.054
53,1772.3,2267.26,12.98,0.017,0.315,0.026,0.15,0.038,0.605,0.03
55,2299.97,2976.79,12.991,0.023,0.62,0.031,0.319,0.034,0.9,0.049
56,1719.12,2059.14,13.054,0.023,0.253,0.03,0.354,0.034,0.521,0.032
58,79.301,1170.56,12.531,0.038,0.684,0.073,1.202,0.093,0.32,0.057
59,2290.79,744.716,13.109,0.037,0.463,0.05,0.001,0.042,0.846,0.043
60,1570.47,1362.3,12.772,0.029,0.409,0.039,nan,nan,0.704,0.033
64,2283.69,2391.65,13.11,0.023,0.525,0.038,0.068,0.04,0.823,0.034
65,3469.27,3202.33,13.023,0.034,0.829,0.046,0.047,0.035,0.799,0.039
67,2299.9,3694.9,13.194,0.039,0.526,0.046,nan,nan,0.586,0.056
68,1041.24,992.531,12.126,0.046,2.216,0.057,1.035,0.049,3.008,0.061
