id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
1,2489.91,1303.19,10.653,0.033,0.014,0.042,0.074,0.031,0.515,0.045
8,2902.66,2182.68,11.678,0.036,-0.028,0.051,-0.437,0.039,0.499,0.045
10,2392.15,2018.96,11.371,0.029,-0.109,0.048,-0.077,0.047,0.402,0.04
12,1962.4,1094.46,11.363,0.025,0.397,0.042,0.046,0.041,1.039,0.044
13,485.813,3560.14,11.089,0.068,-0.116,0.089,1.531,0.141,0.405,0.08
18,1936.81,1426.13,11.809,0.033,-0.034,0.047,0.118,0.038,0.532,0.04
22,3102.98,503.091,11.344,0.052,0.797,0.062,0.882,0.055,1.522,0.062
30,1925.63,1416.0,11.961,0.027,0.124,0.034,nan,nan,0.814,0.034
31,3193.83,295.259,11.988,0.063,0.415,0.091,0.099,0.083,1.011,0.077
32,3169.47,1014.39,12.016,0.032,0.585,0.036,0.197,0.027,1.038,0.043
41,1941.24,1883.52,12.706,0.049,0.091,0.066,0.158,0.051,nan,nan
43,3792.66,1189.61,12.1,0.02,0.413,0.052,nan,nan,0.744,0.036
45,1245.7,1794.48,12.765,0.056,0.103,0.077,-0.346,0.063,0.768,0.072
47,725.646,2906.62,12.388,0.044,0.482,0.07,0.278,0.066,1.078,0.062
51,2940.17,3316.86,12.859,0.025,0.058,0.033,0.029,0.03,0.432,0.044
52,3689.32,1578.33,12.811,0.018,0.212,0.029,-0.212,0.031,0.708,0.045
53,1207.83,2902.5,11.605,0.038,1.102,0.057,1.305,0.048,1.559,0.046
56,544.812,1264.83,12.45,0.08,0.249,0.117,0.252,0.103,0.937,0.088
58,1328.95,3133.21,12.621,0.042,0.071,0.06,0.065,0.051,0.544,0.046
59,959.655,2975.17,11.941,0.046,1.022,0.051,1.341,0.028,1.565,0.055
60,750.784,1804.94,12.759,0.067,0.222,0.078,0.127,0.043,0.674,0.073
63,2848.72,2445.7,12.929,0.018,0.189,0.023,-0.008,0.022,0.701,0.037
65,1100.7,2363.11,12.89,0.045,0.076,0.057,0.225,0.042,0.703,0.057
68,3797.57,844.33,12.742,0.047,0.452,0.054,-0.064,0.035,0.998,0.051
69,2575.43,2550.58,12.918,0.023,0.257,0.031,0.149,0.031,0.752,0.04
71,3164.28,1162.42,12.916,0.019,0.34,0.023,0.101,0.026,0.809,0.032
72,2890.1,1450.81,12.865,0.03,0.355,0.035,0.118,0.028,0.898,0.036
73,2556.78,2966.82,12.145,0.027,1.215,0.033,1.288,0.03,1.683,0.044
74,3708.97,256.25,12.936,0.039,0.504,0.047,0.221,0.034,nan,nan
75,2666.47,374.142,13.112,0.04,0.203,0.051,-0.33,0.05,0.847,0.056
76,2409.25,1550.97,13.167,0.027,0.306,0.034,0.047,0.029,nan,nan
79,2171.93,1926.29,13.26,0.033,0.102,0.038,-0.081,0.023,0.793,0.038
81,2923.85,4015.7,12.74,0.025,0.823,0.032,0.153,0.028,nan,nan
82,1707.46,3386.76,13.215,0.036,0.078,0.043,-0.348,0.043,0.674,0.046
83,3643.76,3928.27,13.008,0.024,0.511,0.034,0.044,0.042,nan,nan
84,1603.17,3315.29,12.846,0.037,0.013,0.111,0.157,0.12,0.553,0.047
86,873.766,2048.38,12.849,0.034,0.643,0.045,0.474,0.039,1.46,0.053
89,1083.3,1929.04,13.249,0.035,0.178,0.045,0.178,0.035,0.74,0.046
90,3394.48,1811.03,13.059,0.019,0.575,0.026,0.04,0.026,1.038,0.041
92,1780.19,1775.02,13.275,0.028,0.18,0.033,0.011,0.024,0.84,0.033
93,2429.58,1539.1,13.156,0.026,0.292,0.033,nan,nan,0.906,0.044
97,230.977,4061.72,13.557,0.043,0.054,0.056,0.126,0.046,nan,nan
98,3182.87,1506.82,12.408,0.027,1.154,0.032,1.103,0.022,1.582,0.044
99,2479.48,526.855,13.33,0.033,0.119,0.041,0.059,0.042,0.663,0.048
101,1942.66,3049.64,13.305,0.036,0.248,0.041,0.091,0.034,0.842,0.044
103,2329.74,2288.29,12.416,0.029,0.957,0.04,1.024,0.033,1.522,0.048
105,199.092,1699.96,13.32,0.07,0.202,0.087,0.321,0.07,1.0,0.098
106,556.871,1926.01,13.359,0.051,0.059,0.064,-0.408,0.059,0.75,0.061
108,1055.64,742.331,13.186,0.032,0.516,0.041,0.123,0.034,1.051,0.055
109,388.922,1005.72,13.231,0.051,-0.172,0.07,0.344,0.073,0.6,0.063
111,3309.87,3908.28,13.281,0.025,0.307,0.033,-0.002,0.031,0.732,0.037
114,3159.76,3194.51,13.427,0.02,0.145,0.027,-0.257,0.025,0.606,0.027
115,2988.17,1408.7,13.448,0.022,0.283,0.026,-0.026,0.025,0.825,0.04
117,3236.55,1826.32,13.445,0.029,0.339,0.036,0.054,0.03,0.706,0.078
118,3129.81,484.561,13.282,0.042,0.438,0.048,0.046,0.043,0.911,0.056
119,4009.43,2121.59,13.299,0.023,0.276,0.033,-0.081,0.04,0.715,0.037
120,3240.23,1823.37,12.783,0.016,0.876,0.022,0.734,0.019,1.357,0.036
121,2643.72,741.573,13.464,0.031,0.326,0.037,-0.384,0.035,0.84,0.041
122,3746.28,2471.8,13.483,0.019,0.244,0.026,-0.084,0.032,0.69,0.04
123,1926.84,1932.77,13.65,0.027,0.03,0.031,-0.143,0.023,0.752,0.031
125,2914.77,409.542,13.38,0.041,0.433,0.051,0.005,0.046,0.956,0.054
128,407.13,3184.45,13.394,0.06,0.5,0.066,0.451,0.036,1.252,0.07
129,3927.87,2882.04,13.272,0.015,0.247,0.024,-0.0,0.033,-0.443,0.027
132,3185.28,1638.94,13.243,0.018,0.721,0.024,0.431,0.022,1.127,0.038
133,1604.86,3289.42,13.538,0.044,0.337,0.05,0.09,0.034,0.928,0.05
134,2976.62,341.778,13.452,0.043,0.437,0.053,0.239,0.048,1.064,0.057
135,4081.36,2645.03,13.05,0.018,1.111,0.026,0.847,0.038,1.567,0.043
136,2743.12,1366.87,13.491,0.024,0.498,0.029,0.093,0.023,1.023,0.033
138,3426.68,454.928,13.535,0.036,0.229,0.044,0.043,0.048,0.915,0.043
139,2905.15,2311.15,13.867,0.022,0.183,0.026,-0.387,0.02,0.757,0.03
141,3832.57,2899.58,13.54,0.018,0.313,0.026,0.004,0.029,0.837,0.028
144,1324.69,3632.61,12.918,0.031,1.034,0.039,0.937,0.03,1.615,0.048
147,1408.36,1752.6,13.706,0.041,0.29,0.047,0.007,0.028,0.994,0.045
149,3719.62,2715.99,13.215,0.018,0.889,0.025,0.609,0.028,1.428,0.031
150,3005.79,3445.13,13.054,0.023,1.081,0.026,0.8,0.024,1.536,0.043
151,3330.51,3832.54,13.327,0.033,0.733,0.039,0.347,0.024,1.121,0.045
152,2497.57,1841.19,13.562,0.025,0.358,0.035,0.114,0.03,0.961,0.032
154,1569.5,1224.43,13.485,0.024,0.592,0.035,0.159,0.031,1.195,0.036
156,3745.35,1022.76,13.715,0.022,0.261,0.029,-0.337,0.029,0.662,0.031
157,889.727,3207.34,13.69,0.027,0.271,0.034,0.171,0.03,0.882,0.039
158,1439.22,1288.03,12.512,0.028,1.633,0.039,1.569,0.036,2.196,0.036
159,2226.38,2256.04,13.74,0.02,0.114,0.033,0.156,0.032,0.717,0.031
161,1970.37,2231.09,13.726,0.041,0.233,0.047,0.077,0.031,0.862,0.046
162,2226.61,1636.02,12.487,0.033,1.52,0.039,1.461,0.027,2.025,0.044
163,2841.84,2373.82,13.868,0.022,0.268,0.027,0.185,0.021,nan,nan
164,4004.79,709.92,13.536,0.033,0.485,0.041,0.101,0.041,1.097,0.041
168,1873.34,3395.22,13.863,0.038,0.172,0.044,-0.036,0.04,0.708,0.049
170,2909.91,3264.72,13.76,0.024,0.2,0.03,-0.031,0.029,0.718,0.032
174,59.372,954.258,13.635,0.051,0.065,0.077,0.608,0.07,0.777,0.066
176,2003.01,3756.52,12.959,0.036,1.187,0.044,1.091,0.036,1.661,0.062
177,2448.92,1286.57,13.857,0.027,0.278,0.034,-0.029,0.027,0.933,0.036
180,1523.85,679.359,13.748,0.031,0.43,0.043,-0.026,0.039,0.948,0.045
186,1843.9,3027.69,13.839,0.036,0.201,0.042,0.225,0.035,0.785,0.043
188,2699.82,885.073,13.881,0.027,0.212,0.034,0.118,0.027,0.671,0.036
190,3924.07,1849.92,13.843,0.023,0.288,0.034,-0.065,0.035,0.833,0.037
191,1245.38,2595.25,13.317,0.03,0.851,0.038,0.835,0.031,1.495,0.042
192,3272.54,2176.13,13.042,0.021,1.11,0.028,1.015,0.024,1.535,0.042
193,797.53,526.543,13.671,0.037,0.328,0.05,0.468,0.046,1.004,0.047
194,4103.62,2238.08,13.824,0.027,0.417,0.035,-0.074,0.041,0.992,0.045
195,2944.27,2945.14,13.917,0.023,0.182,0.028,-0.109,0.023,0.63,0.028
202,3618.74,1738.07,13.847,0.017,0.401,0.025,0.121,0.025,0.944,0.032
205,1380.6,1226.24,13.854,0.025,0.422,0.039,-0.031,0.035,0.972,0.032
206,653.536,2860.09,13.876,0.036,0.397,0.043,0.134,0.03,1.08,0.044
209,313.059,998.439,13.805,0.052,0.16,0.071,0.545,0.063,0.957,0.064
211,2156.16,3670.96,13.945,0.035,0.387,0.041,0.231,0.029,0.964,0.051
216,2338.48,1977.17,13.934,0.022,0.233,0.032,0.18,0.03,0.837,0.03
217,3321.25,3770.47,12.901,0.023,1.359,0.03,1.304,0.025,1.796,0.048
218,3060.0,2856.44,13.573,0.023,0.836,0.029,0.431,0.023,1.217,0.043
219,3769.64,2617.93,13.339,0.018,1.252,0.025,1.002,0.032,1.713,0.037
220,1527.94,1840.08,14.103,0.031,0.233,0.036,0.197,0.025,0.907,0.039
222,1827.35,2579.63,13.861,0.032,0.368,0.041,0.37,0.035,1.029,0.04
225,1913.22,1088.87,14.027,0.025,0.392,0.034,0.033,0.028,1.056,0.034
226,3025.28,2932.06,14.055,0.021,0.52,0.027,-0.056,0.023,nan,nan
227,272.222,2145.9,14.008,0.061,0.227,0.074,0.383,0.061,0.899,0.076
228,2724.23,1412.55,14.056,0.028,0.419,0.033,-0.106,0.025,0.996,0.036
230,4054.14,3933.18,13.496,0.023,1.026,0.033,0.433,0.03,1.461,0.043
231,2157.34,3689.22,14.031,0.036,0.51,0.043,0.193,0.032,nan,nan
233,2171.75,1856.6,14.078,0.026,0.25,0.032,0.168,0.024,0.912,0.032
234,3917.7,3327.6,13.173,0.016,1.623,0.025,1.477,0.031,2.128,0.037
237,2373.96,3558.75,14.116,0.034,0.481,0.04,0.045,0.028,1.033,0.066
238,1818.39,3005.0,14.031,0.03,0.463,0.034,0.144,0.031,1.061,0.036
240,3234.66,1610.55,13.896,0.018,0.641,0.024,0.193,0.023,1.095,0.027
244,1401.0,1631.65,14.106,0.029,0.36,0.038,0.059,0.031,0.972,0.037
245,2404.98,3092.77,14.25,0.029,0.179,0.033,0.088,0.028,0.693,0.037
246,1304.05,3758.24,14.056,0.033,0.417,0.048,0.224,0.043,1.009,0.052
248,3484.26,3982.98,13.718,0.023,0.796,0.032,0.521,0.029,1.276,0.04
249,1143.86,1371.85,13.331,0.027,2.003,0.037,1.017,0.038,3.551,0.037
251,3380.8,1864.3,14.075,0.017,0.521,0.025,-0.018,0.024,1.029,0.029
257,3315.11,779.503,14.076,0.025,0.497,0.03,-0.035,0.03,0.983,0.033
258,820.451,164.611,14.065,0.033,0.197,0.054,0.314,0.057,0.724,0.05
262,755.515,842.51,13.568,0.039,1.103,0.049,1.014,0.047,1.78,0.055
263,2026.49,1309.17,14.313,0.027,0.369,0.036,0.092,0.03,nan,nan
266,2713.32,3893.16,14.211,0.028,0.412,0.035,0.133,0.026,0.898,0.044
269,2918.62,2482.46,14.265,0.018,0.298,0.023,0.084,0.02,0.798,0.027
270,3210.59,526.832,13.475,0.037,1.302,0.045,1.189,0.045,1.836,0.054
272,3447.55,2326.03,14.285,0.036,0.4,0.042,0.071,0.031,1.04,0.052
