id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
74 4094.36 739.038 13.267 0.024 0.455 0.044 0.034 0.053 0.702 0.046 115.92281568365466 -28.533282073012384 7.9477
523 1422.58 2832.02 14.804 0.023 1.506 0.031 1.091 0.03 1.91 0.029 116.28716039703625 -28.277358269940034 5.1807
653 1720.93 3141.79 15.741 0.026 0.746 0.035 0.23 0.041 2.08 0.039 116.24594241841503 -28.240125437326462 5.8103
709 4108.33 3163.54 15.067 0.027 1.663 0.034 1.116 0.042 1.758 0.047 115.91852374011654 -28.239711073626808 7.8793
743 3030.1 2732.39 15.869 0.034 0.71 0.044 0.129 0.031 1.042 0.044 116.06680993492677 -28.290916877482854 5.5188
789 6.234 212.644 15.699 0.041 1.158 0.076 0.059 0.09 "" "" 116.48395890364617 -28.593222981437638 5.0624
1093 3572.22 1589.27 17.2 0.159 -0.174 0.201 -0.178 0.169 "" "" 115.99358634942968 -28.429841728770256 7.4935
1357 3.392 813.745 16.401 0.042 0.848 0.076 1.221 0.185 1.05 0.096 116.48375952708739 -28.520432761828783 5.0850
1534 3593.04 1580.97 17.442 0.146 -0.416 0.191 0.986 0.195 "" "" 115.99073932222306 -28.430866133826147 5.5426
2557 3518.0 1898.58 17.253 0.021 0.979 0.03 0.463 0.035 1.47 0.03 116.00071869510113 -28.39233684483031 8.4832
3067 6.045 497.944 17.303 0.043 2.426 0.196 -0.643 0.224 1.358 0.053 116.48370521081748 -28.558675706493524 8.2283
3607 674.626 3264.34 17.679 0.03 1.099 0.041 0.767 0.056 1.414 0.034 116.38930776447187 -28.22431314968702 9.3355
4301 1666.52 361.154 18.08 0.038 1.013 0.056 0.129 0.063 1.407 0.049 116.25612915584107 -28.57678326190544 10.8976
4531 306.567 3089.04 18.138 0.037 1.345 0.054 0.485 0.063 1.689 0.039 116.43995353486345 -28.245198150133902 7.0640
4823 2380.3 1525.63 18.262 0.035 1.079 0.046 0.677 0.068 1.582 0.041 116.1571033002634 -28.436439901786702 6.2867
4914 3476.34 1579.52 18.672 0.054 0.984 0.091 0.413 0.15 2.146 0.06 116.00674445954769 -28.430933229352622 7.3688
5508 7.482 32.629 18.31 0.052 1.552 0.077 -0.007 0.109 1.376 0.057 116.48396418421235 -28.61502223507635 11.0654
6777 4.723 437.205 18.888 0.05 0.939 0.117 "" "" 1.437 0.065 116.48394603192051 -28.56602938908382 10.1245
7959 4100.67 4002.08 19.132 0.031 1.237 0.053 0.232 0.093 1.551 0.046 115.91875237779915 -28.138164784902745 11.4670
8046 3522.14 2796.33 19.521 0.058 1.585 0.109 "" "" 2.439 0.072 115.99927110412119 -28.283631761244372 10.8786
8352 4102.03 4053.78 19.218 0.031 1.316 0.054 0.602 0.141 1.622 0.045 115.91851520431868 -28.131905674020768 6.0163
8387 2790.11 2297.52 19.302 0.029 1.016 0.047 0.418 0.094 1.569 0.039 116.10014728972352 -28.34335237479381 9.3941
8498 4.184 1153.45 19.256 0.051 1.491 0.097 "" "" 1.571 0.06 116.48331798407833 -28.479298474071093 10.1478
8798 2.609 705.668 19.457 0.064 1.726 0.127 "" "" 2.351 0.098 116.48397282627461 -28.533519124183137 9.2755
9248 3635.37 1574.82 19.91 0.139 0.06 0.187 1.369 0.202 "" "" 115.98494040265591 -28.43165019039176 8.6596
9502 5.289 763.093 19.426 0.044 1.282 0.083 0.761 0.217 1.441 0.053 116.4835490230458 -28.526567997684484 11.7090
9671 4107.27 3195.46 19.554 0.017 1.139 0.044 0.184 0.128 1.481 0.033 115.91863782022565 -28.23584488176189 9.6670
9880 4104.0 3840.6 19.549 0.026 1.293 0.064 "" "" 1.444 0.043 115.91845397676067 -28.157721562899376 14.7322
10024 1479.4 3893.6 19.409 0.499 1.388 0.67 "" "" "" "" 116.27832794297102 -28.148863913358372 8.6785
10711 3957.05 50.931 20.206 0.097 0.103 0.147 0.911 0.235 1.986 0.119 115.94232015007553 -28.61647759961205 6.0401
10981 4108.1 3505.29 20.137 0.033 1.585 0.083 "" "" 2.376 0.042 115.9182203453931 -28.198328205880497 14.1090
11559 2856.28 656.022 20.025 0.116 0.286 0.213 "" "" 1.185 0.176 116.09268180017237 -28.54218358333096 7.5501
11971 5.653 2.055 20.239 0.047 1.581 0.131 "" "" 2.095 0.057 116.48424496948427 -28.618722753578563 18.2651
12897 4109.96 3624.27 20.107 0.033 1.062 0.072 "" "" 1.478 0.052 115.9178486656345 -28.183922595775307 9.0023
13465 4110.58 2731.14 20.152 0.035 1.24 0.064 "" "" 1.501 0.062 115.91863896361386 -28.29207266652963 13.8779
