id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
122 3746.28 2471.8 13.483 0.019 0.244 0.026 -0.084 0.032 0.69 0.04 118.21477094980268 -26.904950297007137 5.7863
244 1401.0 1631.65 14.106 0.029 0.36 0.038 0.059 0.031 0.972 0.037 118.53374657356669 -27.004167851127793 7.9511
453 1191.87 1899.87 14.618 0.03 0.564 0.036 0.234 0.03 1.068 0.043 118.56180707269104 -26.97153880671614 6.1161
1293 4109.89 3620.42 16.119 0.022 0.461 0.029 -0.153 0.026 0.938 0.054 118.16418135517888 -26.766473888744176 10.5748
5083 4106.97 3375.29 17.866 0.017 0.638 0.025 -0.149 0.035 1.184 0.03 118.16485075583468 -26.796100847015005 11.1780
5820 4107.4 4037.47 17.95 0.027 0.892 0.036 0.15 0.042 1.372 0.038 118.16405382836984 -26.716060871382155 17.8625
7858 2.232 469.939 18.722 0.043 1.237 0.083 "" "" 2.148 0.06 118.72472637228796 -27.143196084849382 6.2151
8848 4077.66 29.82 19.31 0.079 1.414 0.112 "" "" 3.431 0.096 118.17255706415625 -27.20045230364541 7.6024
9092 4111.76 3627.62 19.537 0.072 -0.019 0.087 "" "" "" "" 118.16391973730404 -26.765605456961893 13.4660
9373 4017.08 2026.6 19.043 0.115 0.794 0.135 -0.373 0.129 1.613 0.129 118.17854492048849 -26.959033032261072 6.6362
10094 3963.41 2426.07 19.189 0.069 1.519 0.099 "" "" 2.342 0.082 118.18537741525003 -26.91069402982818 6.0156
10498 2412.27 303.737 19.492 0.053 1.429 0.102 "" "" 2.539 0.068 118.39809156834043 -27.16568488005169 7.2783
10749 4084.48 38.17 19.285 0.083 1.857 0.155 "" "" 2.047 0.099 118.17162290443346 -27.199449794565748 9.1872
11950 502.723 3563.9 19.024 0.132 -0.17 0.182 "" "" 0.126 0.146 118.65340473921358 -26.769714626991657 7.3724
12820 870.402 1638.91 19.736 0.052 1.381 0.071 "" "" 2.648 0.064 118.6056917557765 -27.002762075747302 7.7506
13312 32.409 4016.47 20.487 0.085 0.5 0.128 "" "" 3.544 0.109 118.71667822225484 -26.714542426304558 6.1638
13361 4105.06 3704.17 20.093 0.029 1.502 0.082 "" "" 2.662 0.038 118.16474292399103 -26.756345875419104 12.4515
13848 4108.62 3347.82 19.721 0.024 1.189 0.045 "" "" 1.735 0.039 118.16465764368883 -26.799422900852086 6.9952
14292 2.588 39.515 20.163 0.052 0.277 0.077 "" "" 1.954 0.069 118.72515820412801 -27.195223547792587 9.1422
14312 2912.14 2460.76 19.842 0.033 0.928 0.048 0.22 0.11 1.654 0.037 118.32789923741731 -26.905454330400552 9.7854
14411 1467.7 3345.24 19.89 0.029 1.072 0.049 "" "" 1.767 0.035 118.52279013534687 -26.797105624619775 6.2919
14432 1326.06 1770.95 20.199 0.449 0.254 0.64 "" "" "" "" 118.54375365002066 -26.987255485163303 7.8563
15545 4108.91 3227.17 19.958 0.032 1.021 0.048 "" "" 1.562 0.041 118.1647528941424 -26.814006648296925 13.7852
15681 1463.06 3179.56 20.362 0.037 1.319 0.068 "" "" 2.187 0.041 118.52360416060056 -26.817127424262203 5.4402
