radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
115.639922,0.249,-28.354268,0.321,NA,NA,0,NA,NA,0,NA,NA,0,17.659,0.143,2,16.796,0.076,2,15.811,0.142,1,NA,NA,0,NA,NA,0
115.641768,0.319,-28.391461,0.184,14.849,0.058,5,15.994,0.097,5,NA,NA,0,15.364,0.044,5,14.439,0.04,5,13.994,0.077,5,13.713,0.03,2,NA,NA,0
115.643163,0.873,-28.309578,0.312,16.178,0.069,5,17.162,0.241,5,NA,NA,0,16.67,0.033,4,15.765,0.036,4,15.406,0.096,4,NA,NA,0,NA,NA,0
115.644626,0.431,-28.340103,0.309,16.288,0.095,1,17.271,0.185,1,NA,NA,0,17.154,0.143,5,16.146,0.051,5,15.764,0.201,5,NA,NA,0,NA,NA,0
115.644969,0.253,-28.423919,0.234,14.079,0.065,5,14.682,0.059,5,NA,NA,0,14.314,0.032,5,13.881,0.017,5,13.689,0.031,5,13.773,0.128,2,NA,NA,0
115.645046,0.333,-28.383431,0.329,16.279,0.112,5,17.287,0.196,5,NA,NA,0,16.747,0.065,5,16.036,0.047,5,15.763,0.183,5,NA,NA,0,NA,NA,0
115.645281,0.218,-28.401628,0.241,14.429,0.07,5,16.034,0.087,5,NA,NA,0,15.173,0.03,5,13.833,0.013,5,13.179,0.05,5,12.991,0.334,2,NA,NA,0
115.645861,0.548,-28.294621,0.156,NA,NA,0,NA,NA,0,NA,NA,0,17.295,0.126,4,16.737,0.056,4,NA,NA,0,NA,NA,0,NA,NA,0
115.64594,0.407,-28.299847,0.375,17.1,0.261,1,17.332,0.223,1,NA,NA,0,17.272,0.065,4,16.663,0.108,4,16.426,0.122,2,NA,NA,0,NA,NA,0
115.64622,0.726,-28.335226,0.43,NA,NA,0,NA,NA,0,NA,NA,0,18.274,0.214,1,17.598,0.244,1,NA,NA,0,NA,NA,0,NA,NA,0
115.647479,0.269,-28.313338,0.193,15.375,0.068,5,16.116,0.106,5,NA,NA,0,15.666,0.045,5,15.113,0.036,5,14.883,0.035,5,NA,NA,0,NA,NA,0
115.649077,0.332,-28.349139,0.252,NA,NA,0,NA,NA,0,NA,NA,0,16.922,0.089,5,16.178,0.061,5,15.859,0.23,4,NA,NA,0,NA,NA,0
115.649598,1.544,-28.389465,0.76,16.593,0.067,2,17.528,0.06,2,NA,NA,0,16.905,0.078,4,16.014,0.106,4,15.697,0.226,4,NA,NA,0,NA,NA,0
115.649871,0.313,-28.289568,0.338,14.346,0.07,5,14.958,0.052,5,NA,NA,0,14.594,0.033,5,14.119,0.013,5,13.905,0.055,5,13.671,0.123,2,NA,NA,0
115.650103,0.222,-28.461964,0.33,14.917,0.046,5,15.538,0.071,5,NA,NA,0,15.185,0.03,5,14.714,0.028,5,14.479,0.059,5,NA,NA,0,NA,NA,0
115.65014,0.498,-28.476889,0.301,15.917,0.067,5,17.004,0.193,5,NA,NA,0,16.441,0.076,5,15.548,0.083,5,15.191,0.024,5,NA,NA,0,NA,NA,0
115.650651,0.628,-28.419228,0.241,NA,NA,0,NA,NA,0,NA,NA,0,17.916,0.159,1,17.059,0.164,1,16.663,0.311,1,NA,NA,0,NA,NA,0
115.650907,0.225,-28.31872,0.209,13.569,0.068,5,14.028,0.059,5,NA,NA,0,13.726,0.036,5,13.417,0.019,5,13.291,0.042,5,13.244,0.225,2,NA,NA,0
115.651115,0.799,-28.341663,0.497,16.237,0.155,5,17.095,0.182,5,NA,NA,0,16.547,0.065,5,15.83,0.023,5,15.578,0.116,5,NA,NA,0,NA,NA,0
