radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
119.160059,0.34,-28.601419,0.276,14.995,0.044,10,16.486,0.121,10,NA,NA,0,15.652,0.043,11,14.457,0.038,11,13.995,0.117,10,13.318,0.181,1,NA,NA,0
119.160673,0.696,-28.555563,0.382,NA,NA,0,NA,NA,0,NA,NA,0,17.531,0.082,2,16.879,0.191,2,NA,NA,0,NA,NA,0,NA,NA,0
119.160773,0.463,-28.592215,0.596,16.33,0.15,6,17.03,0.161,6,NA,NA,0,16.594,0.124,11,16.078,0.14,11,15.637,0.161,1,NA,NA,0,NA,NA,0
119.162914,0.599,-28.621676,0.385,16.369,0.095,1,18,0.231,1,NA,NA,0,17.117,0.177,9,16.09,0.134,9,15.591,0.167,4,NA,NA,0,NA,NA,0
119.163769,0.335,-28.610191,0.357,15.944,0.112,10,16.66,0.109,10,NA,NA,0,16.182,0.042,11,15.679,0.119,11,15.36,0.193,7,NA,NA,0,NA,NA,0
119.163793,0.141,-28.642758,0.807,NA,NA,0,NA,NA,0,NA,NA,0,18.175,0.169,1,17.233,0.217,1,NA,NA,0,NA,NA,0,NA,NA,0
119.164881,0.445,-28.62896,0.313,16.034,0.155,6,17.046,0.136,6,NA,NA,0,16.51,0.096,11,15.536,0.111,11,15.076,0.137,9,NA,NA,0,NA,NA,0
119.165134,0.659,-28.536743,0.465,16.267,0.203,7,16.855,0.251,7,NA,NA,0,16.584,0.097,7,16.268,0.162,7,16.18,0.223,1,NA,NA,0,NA,NA,0
119.165379,0.206,-28.545046,0.029,NA,NA,0,NA,NA,0,NA,NA,0,17.906,0.184,1,17.281,0.305,1,NA,NA,0,NA,NA,0,NA,NA,0
119.165387,0.338,-28.575248,0.284,14.961,0.044,10,15.555,0.08,10,NA,NA,0,15.233,0.029,11,14.834,0.046,11,14.666,0.133,10,NA,NA,0,NA,NA,0
119.165671,0.551,-28.558512,0.403,14.573,0.051,10,15.427,0.056,10,NA,NA,0,14.953,0.045,11,14.311,0.035,11,14.101,0.217,10,13.827,0.164,2,NA,NA,0
119.166021,0.287,-28.55392,0.432,NA,NA,0,NA,NA,0,NA,NA,0,17.794,0.142,1,17.224,0.267,1,NA,NA,0,NA,NA,0,NA,NA,0
119.166257,0.665,-28.604345,0.416,17.17,0.206,1,18.292,0.291,1,NA,NA,0,17.583,0.097,2,16.828,0.079,2,NA,NA,0,NA,NA,0,NA,NA,0
119.166584,0.127,-28.49227,0.424,NA,NA,0,NA,NA,0,NA,NA,0,17.745,0.202,1,17.356,0.279,1,NA,NA,0,NA,NA,0,NA,NA,0
119.168123,0.636,-28.500913,0.294,16.67,0.033,3,17.245,0.085,3,NA,NA,0,16.85,0.062,3,16.455,0.076,3,16.396,0.272,1,NA,NA,0,NA,NA,0
119.168491,0.36,-28.648191,0.41,NA,NA,0,NA,NA,0,NA,NA,0,17.504,0.013,2,16.183,0.093,2,15.664,0.151,2,NA,NA,0,NA,NA,0
119.168744,0.489,-28.540543,0.479,16.159,0.097,9,16.607,0.144,9,NA,NA,0,16.338,0.098,9,16.103,0.087,8,15.938,0.171,2,NA,NA,0,NA,NA,0
119.169554,0.79,-28.48092,0.496,16.81,0.033,2,17.574,0.132,2,NA,NA,0,17.101,0.038,4,16.39,0.114,4,NA,NA,0,NA,NA,0,NA,NA,0
119.169825,0.384,-28.610581,0.309,NA,NA,0,NA,NA,0,NA,NA,0,17.559,0.066,2,17.241,0.135,2,NA,NA,0,NA,NA,0,NA,NA,0
119.170259,0.761,-28.517421,0.376,16.592,0.034,2,17.423,0.09,2,NA,NA,0,16.912,0.092,4,16.429,0.167,4,16.514,0.287,1,NA,NA,0,NA,NA,0
119.170366,0.453,-28.633275,0.377,13.92,0.036,10,14.356,0.038,10,NA,NA,0,14.079,0.026,11,13.858,0.032,11,13.828,0.099,10,13.542,0.223,1,NA,NA,0
119.1704,0.521,-28.668603,0.381,16.383,0.108,5,17.127,0.155,5,NA,NA,0,16.744,0.101,11,16.173,0.097,11,16.094,0.262,3,NA,NA,0,NA,NA,0
119.172033,0.315,-28.586268,0.362,16.581,0.027,3,17.571,0.184,3,NA,NA,0,16.974,0.106,5,16.473,0.176,5,16.105,0.19,1,NA,NA,0,NA,NA,0
119.172197,0.59,-28.513867,0.629,16.308,0.028,5,17.041,0.112,5,NA,NA,0,16.639,0.093,6,16.121,0.058,6,16.078,0.183,1,NA,NA,0,NA,NA,0
119.172306,0.444,-28.547065,0.644,16.202,0.115,6,16.783,0.18,6,NA,NA,0,16.442,0.092,9,15.884,0.168,9,15.793,0.497,3,NA,NA,0,NA,NA,0
119.17232,0.574,-28.594505,0.378,13.231,0.056,8,14.347,0.045,8,NA,NA,0,13.73,0.032,10,12.816,0.04,10,12.447,0.101,7,12.231,0.122,11,NA,NA,0
119.173531,0.538,-28.509033,0.395,14.517,0.053,9,15.32,0.08,9,NA,NA,0,14.857,0.027,9,14.264,0.038,9,14.098,0.123,9,13.718,0.167,4,NA,NA,0
119.173781,0.36,-28.570993,0.244,15.295,0.062,10,15.909,0.126,10,NA,NA,0,15.546,0.046,10,15.141,0.081,10,14.95,0.08,7,NA,NA,0,NA,NA,0
119.174235,0.302,-28.566625,0.421,13.12,0.032,10,13.605,0.024,10,NA,NA,0,13.307,0.022,11,12.988,0.02,11,12.944,0.114,10,13.068,0.157,12,NA,NA,0
119.174584,0.679,-28.54389,0.466,16.193,0.073,5,16.615,0.105,5,NA,NA,0,16.362,0.059,5,16.032,0.11,5,NA,NA,0,NA,NA,0,NA,NA,0
119.175269,0.339,-28.520867,0.543,15.018,0.084,8,16.196,0.13,8,NA,NA,0,15.577,0.042,8,14.6,0.046,8,14.135,0.137,8,NA,NA,0,NA,NA,0
119.175271,0.709,-28.579619,0.223,NA,NA,0,NA,NA,0,NA,NA,0,17.719,0.161,2,16.875,0.066,2,NA,NA,0,NA,NA,0,NA,NA,0
119.175374,0.543,-28.604668,0.443,14.582,0.041,10,14.993,0.047,10,NA,NA,0,14.717,0.053,11,14.486,0.047,11,14.48,0.111,10,NA,NA,0,NA,NA,0
119.17576,0.133,-28.532747,0.294,NA,NA,0,NA,NA,0,NA,NA,0,17.625,0.147,1,16.546,0.107,1,NA,NA,0,NA,NA,0,NA,NA,0
119.175878,0.336,-28.538752,0.393,14.889,0.055,10,15.624,0.066,10,NA,NA,0,15.212,0.043,10,14.68,0.047,10,14.515,0.135,9,NA,NA,0,NA,NA,0
119.176036,0.49,-28.593356,0.35,12.921,0.056,8,13.088,0.03,8,NA,NA,0,12.922,0.028,9,12.969,0.027,9,13.071,0.104,7,13.02,0.102,6,NA,NA,0
119.176391,0.579,-28.694509,0.337,17.01,0.173,1,18.297,0.286,1,NA,NA,0,17.68,0.037,3,16.424,0.045,3,15.711,0.091,2,NA,NA,0,NA,NA,0
