EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5597795876651779200,0.075451,0.151526,119.80738255503,-28.42318073015,1.7897,0.0123,5.315,0.011,24.419,0.012,9.26106,0.002761,1.62406,0.0047326010818576295,9.771,0.009,1.464,0.018,1.751,0.017,,
Gaia EDR3 5600792217635086976,-0.073087,0.122606,119.63846285085,-28.45210212509,0.6122,0.0222,-3.584,0.019,2.34,0.024,9.478058,0.002759,1.194626,0.004715095439118916,9.771,0.018,1.029,0.024,0.897,0.019,,
Gaia EDR3 5600413676397743104,-0.209559,-0.073736,119.4827977281,-28.64826009042,1.861,0.0125,-1.446,0.01,-11.214,0.014,9.497496,0.002769,1.455068,0.004802514757915898,9.923,0.009,1.313,0.013,1.299,0.011,,
Gaia EDR3 5597796731334434304,0.142096,0.187309,119.88310807034,-28.38732834103,1.643,0.0132,-0.965,0.01,-1.03,0.014,9.718461,0.002775,1.104823,0.004901709089695144,9.949,0.006,1.012,0.017,0.752,0.018,,
Gaia EDR3 5597788111350948096,0.048766,0.022339,119.77710780773,-28.55238261956,0.9026,0.0122,1.92,0.009,-1.797,0.014,9.547882,0.002759,1.518229,0.0047362002702588495,10.006,0.006,1.401,0.011,1.575,0.014,,
Gaia EDR3 5597789657539434880,0.151942,-0.026426,119.89464960637,-28.60104980424,0.9376,0.012,-9.711,0.009,1.74,0.012,9.746357,0.002761,1.529324,0.004737600341945277,10.215,0.011,1.357,0.016,1.559,0.013,1.313,0.027
Gaia EDR3 5597409982431200896,-0.107537,-0.124022,119.59899292226,-28.69869981971,3.7452,0.0118,17.44,0.01,-6.721,0.011,10.425327,0.00276,0.767759,0.004705514318329081,10.573,0.008,0.621,0.014,0.159,0.014,0.614,0.02
Gaia EDR3 5600792664311803136,-0.152865,0.099634,119.54768701729,-28.4749884811,0.1777,0.016,-2.432,0.013,3.46,0.017,9.684327,0.002788,2.135866,0.00492593158701986,10.591,0.012,1.728,0.02,0.605,0.018,,
Gaia EDR3 5600798539826774656,0.019439,0.184892,119.74368690605,-28.3898394358,0.1799,0.014,-2.323,0.012,2.716,0.014,10.512475,0.002771,0.466782,0.004753400151470524,10.628,0.008,0.323,0.013,-0.617,0.012,0.401,0.011
Gaia EDR3 5597792956073983616,0.186508,0.098553,119.93376806525,-28.47601567636,1.2514,0.027,-3.166,0.023,2.526,0.028,10.670661,0.002764,0.142361,0.004714470595941818,10.725,0.006,0.102,0.012,0.052,0.012,0.052,0.014
Gaia EDR3 5600798780345441920,-0.000371,0.205327,119.72116840046,-28.36940589245,0.8849,0.0127,-0.275,0.011,-0.503,0.014,10.378042,0.002761,1.415945,0.004715248561846979,10.752,0.009,1.313,0.022,1.465,0.022,1.219,0.011
Gaia EDR3 5600799330100889600,-0.082875,0.192948,119.62739271508,-28.38175250709,0.573,0.02,-6.431,0.018,3.484,0.021,10.721881,0.002764,0.115774,0.004716051314394278,10.776,0.012,0.055,0.032,0.042,0.035,0.079,0.016
Gaia EDR3 5597770931482144384,0.100688,-0.167499,119.83642646941,-28.74218423197,1.181,0.022,-5.986,0.017,4.877,0.023,10.82234,0.002766,0.138398,0.004727840627601569,10.865,0.009,0.114,0.019,0.084,0.019,0.052,0.022
Gaia EDR3 5597409982431200640,-0.108333,-0.122508,119.5980868591,-28.69718502114,3.7622,0.0122,17.461,0.01,-7.405,0.012,10.757367,0.002759,0.759718,0.0047147099592657876,10.895,0.009,0.627,0.015,0.166,0.013,0.593,0.022
Gaia EDR3 5600789434496542464,-0.199903,-0.01692,119.49392442369,-28.59146299297,-0.0845,0.1154,-1.685,0.1,2.511,0.13,10.798167,0.002768,0.480515,0.004740802041849037,10.923,0.011,0.316,0.014,-0.601,0.018,0.43,0.018
Gaia EDR3 5597769488373161088,0.073934,-0.173985,119.80591900912,-28.74869169988,0.8107,0.0263,-4.27,0.021,3.022,0.026,10.901443,0.002769,-0.044821,0.004723046686197375,10.955,0.01,-0.058,0.02,-0.214,0.019,-0.08,0.013
Gaia EDR3 5600790396569173248,-0.198403,0.036636,119.49574721499,-28.53791069821,0.7489,0.0197,-3.793,0.016,2.556,0.02,10.910759,0.002764,0.096418,0.004717892855926256,10.969,0.01,0.039,0.015,0.04,0.023,0.038,0.014
Gaia EDR3 5600798161869751168,-0.032593,0.149927,119.68452872095,-28.42480135753,0.6524,0.0113,1.735,0.009,-0.938,0.012,10.731671,0.002759,1.439575,0.004727020731919842,11.123,0.013,1.301,0.017,1.341,0.013,1.258,0.018
Gaia EDR3 5597794364823327360,0.030027,0.068573,119.75575924847,-28.50615569067,1.7786,0.0135,-10.217,0.011,3.371,0.013,11.013272,0.002764,0.599057,0.004721854084996697,11.131,0.013,0.448,0.022,0.036,0.021,0.464,0.021
