EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI
"Gaia EDR3 5602098093841430144" -0.137414 -0.137226 119.23185951504 -26.04569992731 "" "" "" "" "" "" 15.410832 0.003862 "" "" 13.917 0.032 0.435 0.038 0.13 0.025 0.874 0.052
"Gaia EDR3 5602100189799010432" -0.038042 -0.140046 119.34246341185 -26.04859379374 "" "" "" "" "" "" 15.193624 0.041569 1.279319 0.024746369147816413 14.242 0.024 0.865 0.031 0.488 0.026 1.594 0.038
"Gaia EDR3 5602104141168965248" -0.092391 -0.103153 119.28200203733 -26.01167093615 "" "" "" "" "" "" 14.861307 0.010236 0.823175 0.004821033602869824 14.603 0.024 0.555 0.033 0.196 0.026 1.074 0.041
"Gaia EDR3 5602100636480513536" -0.007578 -0.104268 119.37637412469 -26.01282206508 "" "" "" "" "" "" 15.771849 0.005322 0.910047 0.005100243131459519 15.187 0.02 0.652 0.031 0.338 0.029 1.192 0.028
"Gaia EDR3 5601348226916072704" 0.099739 -0.223754 119.49590193291 -26.1322661703 "" "" "" "" "" "" 16.093155 0.005907 1.097423 0.12089846580498861 15.336 0.031 0.733 0.044 0.287 0.04 1.223 0.052
"Gaia EDR3 5697428741281240320" 0.160078 -0.047366 119.56284292324 -25.9558111702 "" "" "" "" "" "" 15.724994 0.008793 0.811798 0.005040197714375895 15.482 0.02 0.498 0.038 0.259 0.042 1.193 0.035
"Gaia EDR3 5602092733740777472" -0.153238 -0.244004 119.21409249972 -26.15245792303 "" "" "" "" "" "" 15.582326 0.00748 1.025511 0.005148243389739844 15.462 0.025 0.822 0.036 0.426 0.037 1.274 0.045
"Gaia EDR3 5698183246777820032" 0.171379 0.158994 119.5750786792 -25.74943664978 "" "" "" "" "" "" 17.0186 0.008138 1.110188 0.006110878905689426 16.651 0.021 0.865 0.037 0.161 0.037 1.477 0.039
"Gaia EDR3 5602119190734306432" -0.163371 0.102896 119.20333886544 -25.80554507686 "" "" "" "" "" "" 16.94865 0.008171 1.049526 0.007808535650171548 16.931 0.014 0.834 0.024 0.202 0.028 1.383 0.02
"Gaia EDR3 5602099983640615808" -0.049195 -0.166234 119.33003704878 -26.07477809171 "" "" "" "" "" "" 17.078405 0.009891 1.214277 0.007171390381230128 16.928 0.024 0.855 0.036 0.321 0.038 1.417 0.039
"Gaia EDR3 5602100773914464000" 0.015425 -0.080884 119.40196713999 -25.98943705319 "" "" "" "" "" "" 17.327435 0.009437 1.13171 0.007547567687672632 17.28 0.024 0.673 0.038 0.324 0.041 1.462 0.027
"Gaia EDR3 5602105309386275840" -0.141962 -0.046293 119.22692047441 -25.95476205583 "" "" "" "" "" "" 19.328642 0.007675 "" "" 17.356 0.017 0.796 0.025 0.109 0.024 1.448 0.026
"Gaia EDR3 5698185239637979008" 0.003289 0.127336 119.38845961095 -25.78121792619 "" "" "" "" "" "" 17.685606 0.006803 1.037643 0.010741229026512748 17.364 0.013 0.73 0.023 0.169 0.03 1.34 0.026
"Gaia EDR3 5698198021460571520" 0.020142 0.236491 119.40715461981 -25.67206204753 "" "" "" "" "" "" 19.28098 0.009395 1.847546 0.011675752652398902 16.947 0.051 1.614 0.077 0.612 0.093 2.028 0.083
"Gaia EDR3 5698201423059223552" -0.101723 0.217391 119.27192466545 -25.69111992159 "" "" "" "" "" "" 17.919065 0.008391 1.145189 0.03198458581879715 17.342 0.013 0.891 0.024 0.129 0.031 1.451 0.021
"Gaia EDR3 5601348806728952576" 0.002446 -0.222641 119.38753085373 -26.13119537099 "" "" "" "" "" "" 17.554653 0.008986 1.200178 0.009023803244752182 17.391 0.03 0.768 0.04 0.355 0.04 1.478 0.054
"Gaia EDR3 5602101770332831616" -0.027926 -0.060842 119.35374414803 -25.96939281269 "" "" "" "" "" "" 17.8026 0.004957 1.247484 0.024425902746879183 17.341 0.034 1.007 0.052 0.356 0.051 1.424 0.056
"Gaia EDR3 5602119980994139520" -0.121292 0.113271 119.2500910712 -25.79522071099 "" "" "" "" "" "" 18.262419 0.012426 "" "" 17.541 0.016 0.774 0.026 0.139 0.03 1.366 0.022
"Gaia EDR3 5601348325692271360" 0.103967 -0.21242 119.5005997719 -26.12092798364 "" "" "" "" "" "" 17.96361 0.011055 1.291189 0.01164683274542912 17.523 0.028 0.858 0.05 0.331 0.055 1.622 0.043
"Gaia EDR3 5602098089544470016" -0.140919 -0.138565 119.22795690405 -26.04703468645 "" "" "" "" "" "" 17.822355 0.008615 1.183664 0.009237828749224571 17.606 0.028 0.864 0.039 0.207 0.04 1.427 0.034
