EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI,probs_final,membs_select
Gaia EDR3 5538151012973218304,0.016017,-0.028508,118.6171235982,-38.24099011898,0.0711,0.0442,-1.296,0.044,2.204,0.049,16.45593,0.002809,0.751466,0.007741494041850061,16.603,0.022,0.356,0.027,-0.133,0.028,0.671,0.029,1.0,1
Gaia EDR3 5538151249186798848,0.027661,0.022058,118.63192383596,-38.19042131281,0.0831,0.5877,-1.316,0.566,2.23,0.553,20.300295,0.006582,1.694696,0.08937224335329173,20.732,0.036,0.897,0.063,,,1.421,0.047,0.94,1
Gaia EDR3 5538151012973220480,0.014423,-0.028044,118.61509317329,-38.24052730335,0.1097,0.0174,-1.293,0.018,2.2,0.02,14.610277,0.002767,1.757859,0.004945121333192948,15.213,0.02,1.235,0.024,0.891,0.029,1.618,0.03,1.0,1
Gaia EDR3 5538151047332948608,0.019566,-0.022622,118.6216400519,-38.23510353273,0.0767,0.032,-1.339,0.032,2.199,0.035,15.929303,0.002782,0.899624,0.005686205061374414,16.078,0.023,0.489,0.027,0.299,0.027,0.764,0.029,1.0,1
Gaia EDR3 5538151008672648320,0.014214,-0.026258,118.61482729297,-38.23874072777,0.1253,0.0363,-1.296,0.037,2.205,0.04,16.199411,0.002803,0.910419,0.006284786790337441,16.394,0.024,0.461,0.027,0.229,0.026,0.804,0.029,1.0,1
Gaia EDR3 5538150287113992704,0.019825,-0.027256,118.62197101193,-38.2397376868,0.1203,0.0612,-1.339,0.061,2.208,0.067,17.138771,0.002854,0.773882,0.00852181412611188,17.267,0.025,0.409,0.029,0.187,0.031,0.682,0.033,1.0,1
Gaia EDR3 5538150394494216320,0.032722,-0.023004,118.638389136,-38.23548068894,0.0463,0.1314,-1.278,0.132,2.205,0.143,18.454517,0.003166,0.918953,0.03579746102728516,18.624,0.027,0.511,0.033,0.407,0.042,0.837,0.039,1.0,1
Gaia EDR3 5538150291418706304,0.020998,-0.028744,118.62346501475,-38.24122529717,0.1349,0.0577,-1.328,0.057,2.196,0.062,17.055902,0.002839,0.766321,0.008368262065686041,17.183,0.025,0.404,0.029,0.201,0.034,0.698,0.033,1.0,1
Gaia EDR3 5538151287851135360,-0.003832,-0.007188,118.59185313767,-38.21967256097,0.0251,0.0553,-1.298,0.055,2.191,0.065,16.972763,0.002846,0.980539,0.009240108224474429,17.145,0.019,0.565,0.023,0.267,0.027,0.869,0.026,1.0,1
Gaia EDR3 5538151184771866496,0.033763,0.013598,118.63969327499,-38.19887842967,0.1136,0.1423,-1.25,0.147,2.187,0.155,18.546745,0.003252,1.313776,0.026430283407485437,18.805,0.026,0.751,0.032,0.555,0.051,1.091,0.044,0.99,1
Gaia EDR3 5538151047332952832,0.017454,-0.025689,118.61895228028,-38.23817141402,0.0278,0.0667,-1.306,0.068,2.246,0.075,17.380331,0.002889,0.820417,0.009243316504372226,17.543,0.037,0.426,0.041,0.356,0.034,0.78,0.041,1.0,1
Gaia EDR3 5538150257058978944,0.017491,-0.037385,118.61900263888,-38.24986701509,0.1513,0.0465,-1.321,0.045,2.229,0.05,16.649921,0.002814,0.723032,0.007093702065917345,16.756,0.026,0.371,0.031,0.159,0.031,0.634,0.033,1.0,1
Gaia EDR3 5538151322207201664,0.003266,0.008846,118.60088573704,-38.2036378815,0.0097,0.1454,-1.323,0.151,2.188,0.155,18.56059,0.003196,0.996923,0.032269179754062544,18.696,0.023,0.542,0.029,0.55,0.048,0.77,0.033,1.0,1
Gaia EDR3 5538150321473738496,0.047567,-0.023286,118.65728900386,-38.23575505423,0.1666,0.1039,-1.306,0.102,2.206,0.111,18.060215,0.003044,0.814243,0.016892184346614263,18.183,0.028,0.458,0.034,0.286,0.035,0.717,0.037,1.0,1
Gaia EDR3 5538150394494213888,0.03156,-0.019493,118.63690806037,-38.23197083573,0.059,0.1326,-1.229,0.134,2.204,0.139,18.373236,0.003178,0.898497,0.020558593653263346,18.508,0.027,0.483,0.033,0.353,0.048,0.739,0.038,1.0,1
Gaia EDR3 5538149531199686272,3.6e-05,-0.046774,118.59677610186,-38.25925817684,0.1625,0.0831,-1.327,0.083,2.182,0.088,17.650875,0.002939,0.861263,0.012465817622603018,17.672,0.031,0.501,0.038,0.37,0.038,0.684,0.038,1.0,1
Gaia EDR3 5538150188339493504,0.028739,-0.046145,118.63332954732,-38.25862343016,0.0635,0.0636,-1.333,0.061,2.118,0.068,17.212357,0.002869,0.892286,0.008434688672381454,17.361,0.026,0.494,0.032,0.251,0.035,0.812,0.034,1.0,1
