EDR3Name_1 _x_1 _y_1 RA_ICRS_1 DE_ICRS_1 Plx_1 e_Plx_1 pmRA_1 e_pmRA_1 pmDE_1 e_pmDE_1 Gmag_1 e_Gmag_1 BP-RP_1 e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select d_arcsec _r _x_2 _y_2 _p EDR3Name_2 RA_ICRS_2 e_RA_ICRS DE_ICRS_2 e_DE_ICRS Source SolID RandomI Epoch Plx_2 e_Plx_2 RPlx PM pmRA_2 e_pmRA_2 pmDE_2 e_pmDE_2 RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag_2 e_Gmag_2 o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP_2 BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000
"Gaia EDR3 5597788145710680320" 0.061588 0.029146 119.7917013073 -28.54556923004 0.1772 0.0693 -2.331 0.057 2.925 0.066 17.297592 0.002858 0.95602 0.009602637658476966 17.481 0.009 0.67 0.015 0.465 0.018 0.837 0.014 0.99 1 0.0000 0.077928 0.073398 0.026184 70.4 "Gaia EDR3 5597788145710680320" 119.79170130730 0.0439 -28.54556923004 0.0529 5597788145710680320 1636042515805110273 171309813 2016.0 0.1772 0.0693 2.5578 3.741 -2.331 0.057 2.925 0.066 0.0874 0.0113 -0.1300 -0.0099 0.1412 0.0324 -0.2360 0.2438 0.0162 0.0155 482 0 479 3 3.7822 623.48 0.242 2 31 0 1.528 "" "" "" "" "" "" "" 56 28 0.093108 61 26 0 0.0075 87 0 0 1.125 0.14 0.18 0.037 0.33 -87.649 -76.218 -48.666 24.038 0 494 2269 1.584 1432.875 17.297592 0.002858 56 1192 6.755 176.486 17.647724 0.006755 51 1669 8.736 191.066 16.691704 0.006825 0 56 0 51 0 1.261 0.956020 0.350132 0.605888 "" "" 0 "" "" "" 245.7498166679 0.5612758746 130.5923324072 -47.8736430942 73741197917305595 "" "" "" 17.297592 0.002858 2269 0.048 119.79171310065 0.9244 -28.54558223200 1.0774 0.0142
"Gaia EDR3 5597788661106791168" -0.037094 0.023064 119.67936017759 -28.5516624981 0.1804 0.0391 -2.339 0.034 2.941 0.037 16.36691 0.002789 0.809719 0.0064609275649863155 16.52 0.013 0.57 0.018 0.079 0.018 0.685 0.017 1.0 1 0.0000 0.032309 -0.025285 0.020113 308.5 "Gaia EDR3 5597788661106791168" 119.67936017759 0.0244 -28.55166249810 0.0288 5597788661106791168 1636042515805110273 984969047 2016.0 0.1804 0.0391 4.6093 3.758 -2.339 0.034 2.941 0.037 0.0998 -0.0947 -0.0548 0.0626 0.0601 0.0615 -0.1202 0.1559 -0.1425 0.1034 516 0 514 2 -0.2761 520.54 0.000 0 31 0 1.558 "" "" "" "" "" "" "" 59 27 0.052523 65 26 0 0.0034 33 0 0 0.991 0.11 0.21 0.055 0.34 -114.317 -74.147 -18.711 19.860 0 544 5348 2.122 2520.505 16.366910 0.002789 63 2891 9.716 297.576 16.685870 0.004593 62 3538 8.218 430.480 15.876150 0.004544 0 1 0 2 0 1.202 0.809719 0.318958 0.490761 "" "" 0 "" "" "" 245.7032914668 0.4740359457 130.4543535509 -47.9085021755 73731196793698307 "" 43418547 "" 16.366910 0.002789 5348 0.002 119.67937201255 0.5394 -28.55167556974 0.5987 0.0968
"Gaia EDR3 5600791801008171008" -0.097735 0.101233 119.61040572915 -28.47345449399 0.1783 0.0815 -2.32 0.073 2.925 0.081 17.708004 0.002915 1.491888 0.024798429668025354 18.191 0.012 1.154 0.019 0.299 0.023 1.44 0.018 0.99 1 0.0000 0.130548 -0.085918 0.098289 318.8 "Gaia EDR3 5600791801008171008" 119.61040572915 0.0536 -28.47345449399 0.0605 5600791801008171008 1636042515805110273 1444765877 2016.0 0.1783 0.0815 2.1876 3.734 -2.320 0.073 2.925 0.081 0.1864 -0.0649 -0.0526 0.1398 0.0468 0.1397 -0.0343 0.1893 -0.2317 0.1763 493 0 489 4 -1.1518 468.77 0.000 0 31 0 1.412 "" "" "" "" "" "" "" 57 27 0.11703 62 25 0 0.015 1.2e+02 0 0 0.963 0.12 0.25 0.039 0.33 -87.042 -63.871 37.478 19.648 0 509 1555 1.364 1140.437 17.708004 0.002915 57 639.4 13.17 48.558 18.324083 0.022533 56 1466 13.02 112.625 16.832195 0.010355 0 12 0 8 0 1.354 1.491888 0.616079 0.875809 "" "" 0 "" "" "" 245.6049349495 0.4633392469 130.3337782001 -47.8515098567 73831196103172100 "" 44645269 "" 17.708004 0.002915 1555 0.085 119.61041745919 1.1693 -28.47346749573 1.2963 0.1627
"Gaia EDR3 5597789142143117184" -0.020846 0.042116 119.69786272594 -28.53261537372 0.1703 0.0285 -2.354 0.025 2.914 0.03 15.741754 0.002774 0.829526 0.005269718208784982 15.917 0.011 0.559 0.016 -0.094 0.017 0.743 0.017 1.0 1 0.0000 0.040192 -0.009035 0.039163 347.0 "Gaia EDR3 5597789142143117184" 119.69786272594 0.0179 -28.53261537372 0.0218 5597789142143117184 1636042515805110273 261069805 2016.0 0.1703 0.0285 5.9716 3.746 -2.354 0.025 2.914 0.030 0.1327 -0.1099 -0.0394 0.0418 0.0444 0.0467 -0.1359 0.1318 -0.0398 0.1138 517 0 515 2 -1.4628 485.20 0.000 3.6e-15 31 0 1.557 "" "" "" "" "" "" "" 60 27 0.041477 67 27 0 0.0063 78 0 0 0.954 0.15 0.24 0.013 0.33 -116.755 -72.085 -41.418 21.689 0 532 9511 2.853 3334.274 15.741754 0.002774 61 5129 9.168 559.464 16.063412 0.003399 58 6392 8.182 781.152 15.233886 0.004027 0 2 0 2 0 1.211 0.829526 0.321658 0.507868 "" "" 0 "" "" "" 245.6955770402 0.4978576325 130.4691781470 -47.8855197988 73761196978701166 "" 43422824 "" 15.741754 0.002774 9511 0.009 119.69787463565 0.4005 -28.53262832359 0.4755 0.1090
"Gaia EDR3 5597788729826269312" -0.04426 0.029744 119.67120602594 -28.54497976079 0.1646 0.018 -2.342 0.016 2.948 0.018 14.686781 0.002766 0.72984 0.004867404339070261 14.851 0.009 0.483 0.017 -0.233 0.018 0.667 0.017 1.0 1 0.0000 0.042082 -0.032450 0.026794 309.5 "Gaia EDR3 5597788729826269312" 119.67120602594 0.0115 -28.54497976079 0.0137 5597788729826269312 1636042515805110273 1426795501 2016.0 0.1646 0.0180 9.1527 3.765 -2.342 0.016 2.948 0.018 0.1251 -0.0814 0.0272 0.0528 0.0265 0.0561 -0.1450 0.1659 -0.0933 0.0994 516 0 514 2 0.3824 539.28 0.000 0 31 0 1.582 "" "" "" "" "" "" "" 59 27 0.025294 65 25 0 0.0045 62 0 0 1.011 0.13 0.2 0.038 0.29 -115.352 -70.800 -21.567 21.009 0 525 2.513e+04 5.686 4419.959 14.686781 0.002766 59 1.416e+04 12.74 1111.470 14.961039 0.002956 57 1.61e+04 12.14 1325.960 14.231198 0.003867 0 1 0 0 0 1.204 0.729840 0.274258 0.455583 "" "" 0 "" "" "" 245.6938472737 0.4714327010 130.4412111912 -47.9042185830 73741196712066349 "" 43418542 "" 14.686781 0.002766 2.513e+04 0.009 119.67121787636 0.2617 -28.54499286314 0.2885 0.0940
"Gaia EDR3 5597787900882757760" -0.019687 0.0102 119.69917491572 -28.56453120156 0.1679 0.024 -2.312 0.021 2.923 0.024 15.311869 0.002768 0.732845 0.005145062973375545 15.477 0.015 0.482 0.018 -0.157 0.014 0.665 0.018 1.0 1 0.0000 0.010706 -0.007879 0.007247 312.6 "Gaia EDR3 5597787900882757760" 119.69917491572 0.0151 -28.56453120156 0.0182 5597787900882757760 1636042515805110273 368134623 2016.0 0.1679 0.0240 6.9884 3.727 -2.312 0.021 2.923 0.024 0.1678 -0.1068 -0.1017 0.1082 0.1062 0.1125 -0.0715 0.1281 -0.1255 0.1595 512 0 510 2 -1.0264 495.45 0.000 0 31 0 1.580 "" "" "" "" "" "" "" 59 27 0.034552 65 27 0 0.0052 5.9 0 0 0.967 0.062 0.27 0.026 0.35 -111.311 -67.615 -19.242 20.583 0 534 1.413e+04 3.509 4027.046 15.311869 0.002768 59 7933 12.2 650.322 15.589906 0.003252 58 9043 10.57 855.853 14.857060 0.003987 0 3 0 4 0 1.201 0.732845 0.278037 0.454808 "" "" 0 "" "" "" 245.7233695523 0.4821229123 130.4848154611 -47.9156867320 73721196991822859 "" 43422613 "" 15.311869 0.002768 1.413e+04 0.007 119.69918661457 0.3346 -28.56454419391 0.3901 0.1481
"Gaia EDR3 5597788248789914112" 0.008244 0.014066 119.73097602711 -28.56066672884 0.1602 0.0349 -2.362 0.028 2.927 0.034 16.14198 0.002781 0.783546 0.005531307621168795 16.305 0.009 0.546 0.014 0.071 0.014 0.627 0.013 1.0 1 0.0000 0.022924 0.020051 0.011110 61.0 "Gaia EDR3 5597788248789914112" 119.73097602711 0.0212 -28.56066672884 0.0265 5597788248789914112 1636042515805110273 588661263 2016.0 0.1602 0.0349 4.5964 3.761 -2.362 0.028 2.927 0.034 0.1170 -0.0299 -0.1098 -0.0197 0.1983 0.0223 -0.0983 0.1931 0.0735 0.0407 525 0 523 2 -1.2334 499.28 0.000 0 31 0 1.567 "" "" "" "" "" "" "" 60 27 0.047086 65 26 0 0.0027 51 0 0 0.961 0.071 0.24 0.027 0.32 -143.369 -75.343 -1.828 22.941 0 536 6579 2.298 2863.324 16.141980 0.002781 60 3600 7.49 480.573 16.447906 0.003590 61 4300 7.324 587.037 15.664360 0.004208 0 1 0 1 0 1.201 0.783546 0.305927 0.477619 "" "" 0 "" "" "" 245.7347109797 0.5079384781 130.5229450369 -47.9037772266 73721197309867491 "" 43422646 "" 16.141980 0.002781 6579 0.002 119.73098797890 0.4551 -28.56067973899 0.5455 0.0403
"Gaia EDR3 5597789142143112320" -0.015011 0.050302 119.70450573488 -28.52443031618 0.1722 0.0117 -2.367 0.01 2.934 0.012 13.402076 0.002761 0.646136 0.004742211403975997 13.547 0.012 0.432 0.018 -0.448 0.019 0.58 0.016 1.0 1 0.0000 0.047456 -0.003199 0.047348 356.1 "Gaia EDR3 5597789142143112320" 119.70450573488 0.0072 -28.52443031618 0.0087 5597789142143112320 1636042515805110273 59379761 2016.0 0.1722 0.0117 14.7622 3.770 -2.367 0.010 2.934 0.012 0.1206 -0.0592 -0.0280 0.0446 0.0668 0.0545 -0.0833 0.1674 -0.0751 0.0952 504 0 503 1 -0.2370 499.31 0.000 1.8e-15 31 0 1.604 "" "" "" "" "" "" "" 58 27 0.016187 65 25 0 0.009 79 0 0 0.992 0.12 0.19 0.048 0.31 -115.934 -70.956 -26.099 21.329 0 529 8.206e+04 13.59 6038.413 13.402076 0.002761 62 4.781e+04 22.59 2116.195 13.639756 0.002837 62 5.032e+04 18.29 2751.513 12.993620 0.003800 0 1 0 0 0 1.196 0.646136 0.237680 0.408456 "" "" 0 "" "" "" 245.6916615087 0.5071166095 130.4739097875 -47.8759810141 73771197044871028 "" 43422832 "" 13.402076 0.002761 8.206e+04 0.007 119.70451770589 0.1638 -28.52444335730 0.1855 0.0903
"Gaia EDR3 5597787973912004224" 0.025639 -0.002883 119.75078574333 -28.57761290078 0.1816 0.0418 -2.325 0.035 2.951 0.039 16.510683 0.002795 0.851052 0.007274541085181937 16.719 0.006 0.559 0.009 0.186 0.011 0.747 0.01 1.0 1 0.0000 0.037897 0.037445 -0.005841 98.9 "Gaia EDR3 5597787973912004224" 119.75078574333 0.0255 -28.57761290078 0.0319 5597787973912004224 1636042515805110273 1005144757 2016.0 0.1816 0.0418 4.3426 3.757 -2.325 0.035 2.951 0.039 0.1046 -0.0649 -0.1666 -0.0198 0.1939 0.0247 -0.1784 0.2273 -0.0362 0.0297 536 0 534 2 -0.1315 545.79 0.000 0 31 0 1.549 "" "" "" "" "" "" "" 62 28 0.054243 67 28 0 0.006 22 0 0 0.995 0.089 0.24 0.055 0.33 -156.271 -77.317 -15.218 22.285 0 540 4685 2.037 2299.466 16.510683 0.002795 55 2495 10.19 244.921 16.846004 0.005238 57 3171 9.774 324.427 15.994952 0.005048 0 4 0 3 0 1.209 0.851052 0.335321 0.515731 "" "" 0 "" "" "" 245.7582622153 0.5138744746 130.5551921934 -47.9148508194 73701197508007148 "" 43422167 "" 16.510683 0.002795 4685 0.006 119.75079750946 0.5728 -28.57762601586 0.6280 0.0290
"Gaia EDR3 5597788970344430208" -0.038612 0.051591 119.6776439269 -28.52313532442 0.1614 0.025 -2.349 0.021 2.896 0.024 15.425776 0.002768 0.887298 0.005354302288814108 15.635 0.009 0.587 0.013 -0.111 0.014 0.805 0.014 1.0 1 0.0000 0.055535 -0.026800 0.048640 331.1 "Gaia EDR3 5597788970344430208" 119.67764392690 0.0158 -28.52313532442 0.0183 5597788970344430208 1636042515805110273 1518326586 2016.0 0.1614 0.0250 6.4641 3.729 -2.349 0.021 2.896 0.024 0.1464 -0.0333 -0.0549 0.0820 0.0939 0.0920 -0.0627 0.1599 -0.1031 0.1244 521 0 521 0 0.9177 569.59 0.000 0 31 0 1.545 "" "" "" "" "" "" "" 60 27 0.034303 66 26 0 0.008 84 0 0 1.028 0.11 0.2 0.029 0.35 -103.908 -66.706 -25.695 21.354 0 519 1.272e+04 3.099 4105.324 15.425776 0.002768 54 6678 13.23 504.630 15.776960 0.003523 52 8776 11.35 772.902 14.889663 0.004032 0 1 0 0 0 1.214 0.887298 0.351184 0.536114 "" "" 0 "" "" "" 245.6781974371 0.4876890382 130.4397061958 -47.8816763918 73771196776502544 "" 43418714 "" 15.425776 0.002768 1.272e+04 0.008 119.67765580938 0.3398 -28.52314819723 0.3903 0.1157
