EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select
"Gaia EDR3 5599871479724092544" 0.018359 -0.074548 116.22172583054 -28.44757966141 0.27137 0.0433 -1.824 0.033 1.754 0.043 16.44166 0.00279 0.964617 0.00603442565618303 16.58 0.028 0.626 0.037 0.407 0.043 0.954 0.034 1.0 1
"Gaia EDR3 5599916830275449344" -0.113793 -0.00742 116.07150739821 -28.38039224495 0.28525500000000004 0.0996 -1.834 0.081 1.762 0.096 17.937151 0.002932 1.455244 0.014973664915444046 18.282 0.026 0.923 0.037 0.36 0.053 1.428 0.038 0.99 1
"Gaia EDR3 5599922710095948160" -0.075745 0.016681 116.11477295443 -28.35632515691 0.296512 0.0349 -1.837 0.029 1.755 0.033 16.04467 0.00278 0.916445 0.005750825505959992 16.184 0.023 0.55 0.034 0.315 0.037 0.846 0.034 1.0 1
"Gaia EDR3 5599871101767201408" 0.031506 -0.094068 116.23668413915 -28.46709626185 0.27734200000000003 0.0183 -1.826 0.014 1.767 0.019 14.56913 0.002765 0.90767 0.00486409313233207 14.713 0.037 0.527 0.044 0.167 0.034 0.93 0.041 1.0 1
"Gaia EDR3 5599919892597367808" -0.046684 0.027529 116.14780089516 -28.34549385193 0.287395 0.0135 -1.831 0.011 1.749 0.013 12.972634 0.002761 1.931963 0.004790375768141785 13.614 0.023 1.567 0.038 1.217 0.038 1.846 0.058 1.0 1
"Gaia EDR3 5599919892597372032" -0.047852 0.022371 116.14647202969 -28.35065131299 0.263716 0.0848 -1.815 0.07 1.756 0.076 17.531689 0.002867 1.33551 0.012806356234308024 17.808 0.027 0.871 0.041 0.374 0.047 1.255 0.037 1.0 1
"Gaia EDR3 5599918312049410432" 0.001228 -0.072139 116.20224136958 -28.44517229731 0.270116 0.0125 -1.819 0.01 1.758 0.013 13.66158 0.002761 0.755828 0.00475781136658443 13.815 0.029 0.358 0.037 0.111 0.033 0.826 0.036 1.0 1
"Gaia EDR3 5599919205402556544" 0.009498 0.002984 116.21163913291 -28.37004815296 0.269114 0.0275 -1.821 0.024 1.764 0.026 15.528647 0.002772 0.939075 0.005158145112344165 15.716 0.019 0.519 0.026 0.356 0.032 0.925 0.027 1.0 1
"Gaia EDR3 5599923878327068160" -0.119897 0.068122 116.06466587975 -28.30484360778 0.303975 0.0305 -1.822 0.026 1.77 0.031 15.693503 0.002776 0.98143 0.0055466390724473865 15.883 0.019 0.653 0.026 0.261 0.025 0.879 0.027 0.99 1
"Gaia EDR3 5599922984973859968" -0.090158 0.034413 116.09841103885 -28.33858191951 0.269365 0.0219 -1.841 0.019 1.77 0.022 15.055313 0.002769 0.814973 0.005251952208464962 15.18 0.033 0.517 0.039 0.193 0.027 0.766 0.04 0.99 1
"Gaia EDR3 5599918273384161920" -0.004619 -0.079446 116.19559194545 -28.45247923478 0.303793 0.0828 -1.827 0.068 1.749 0.079 17.616728 0.002883 1.43298 0.012355770554684155 17.968 0.034 0.929 0.044 0.235 0.091 1.423 0.041 1.0 1
"Gaia EDR3 5599918793085723648" -0.009353 -0.012729 116.1902141949 -28.38576110018 0.28613700000000003 0.0386 -1.825 0.032 1.779 0.037 16.131226 0.002786 1.132898 0.0056741732437422115 16.335 0.022 0.736 0.029 0.487 0.037 1.056 0.028 1.0 1
"Gaia EDR3 5599918655646807296" -0.03069 -0.037583 116.16595323792 -28.41061183891 0.29850200000000005 0.0447 -1.809 0.036 1.746 0.045 16.587063 0.002795 1.049413 0.0066702661116330286 16.765 0.023 0.677 0.033 0.447 0.042 1.04 0.029 1.0 1
"Gaia EDR3 5599917109458652544" -0.134427 0.017836 116.04809034866 -28.35511190413 0.260389 0.0601 -1.847 0.05 1.773 0.059 17.193935 0.00283 1.134974 0.008499814703862667 17.459 0.021 0.678 0.03 0.248 0.034 1.136 0.031 0.99 1
"Gaia EDR3 5599872441796900608" 0.113403 -0.040313 116.32978044986 -28.41328510269 0.307033 0.0509 -1.847 0.039 1.748 0.049 16.654013 0.002806 1.244177 0.007198060363736887 16.891 0.034 0.874 0.046 0.563 0.045 1.2 0.037 0.99 1
"Gaia EDR3 5599912677052345600" -0.033371 -0.061246 116.16289641686 -28.43427331186 0.283701 0.0322 -1.863 0.026 1.736 0.031 15.911081 0.002782 0.819818 0.005460642086787963 16.029 0.025 0.453 0.034 0.291 0.037 0.888 0.032 1.0 1
"Gaia EDR3 5599873678747333504" 0.095125 0.020268 116.30893703034 -28.35272210715 0.284711 0.06 -1.805 0.05 1.733 0.058 17.094093 0.002832 1.278002 0.008619453578968914 17.384 0.025 0.863 0.036 0.499 0.049 1.234 0.034 0.99 1
"Gaia EDR3 5599918621287081088" -0.038181 -0.048527 116.15743104267 -28.42155299444 0.285275 0.0187 -1.811 0.015 1.724 0.019 14.707149 0.002763 0.815444 0.004871026585844097 14.833 0.027 0.47 0.035 0.13 0.032 0.837 0.034 1.0 1
"Gaia EDR3 5599920030036283392" -0.006106 0.022279 116.19390727069 -28.35075404057 0.278588 0.1493 -1.862 0.12 1.731 0.144 18.522982 0.003169 1.603779 0.039505130907263174 18.948 0.032 1.141 0.045 0.488 0.079 1.539 0.039 1.0 1
"Gaia EDR3 5599919514640248832" -0.024702 -0.017474 116.17276598486 -28.39050441406 0.314711 0.0587 -1.831 0.049 1.756 0.059 16.913754 0.002822 1.223106 0.007511700539824521 17.16 0.025 0.809 0.036 0.426 0.044 1.171 0.032 1.0 1
"Gaia EDR3 5599873197711146624" 0.110495 -0.04088 116.32647412033 -28.4138554735 0.27059300000000003 0.0155 -1.823 0.012 1.718 0.015 13.56808 0.002761 1.216714 0.004800961674498142 13.871 0.033 0.757 0.042 0.453 0.036 1.227 0.037 0.99 1
"Gaia EDR3 5599912986290078848" -0.112688 -0.079758 116.07267540849 -28.45273073684 0.282553 0.0202 -1.801 0.016 1.732 0.02 14.716215 0.002768 0.762827 0.0049597155160351685 14.785 0.022 0.409 0.028 0.127 0.027 0.787 0.036 0.99 1
"Gaia EDR3 5599912397868861440" -0.021276 -0.08562 116.17664526442 -28.45865114478 0.251066 0.0758 -1.837 0.06 1.779 0.074 17.476221 0.002869 1.239775 0.010120746266950871 17.741 0.031 0.777 0.042 0.293 0.051 1.273 0.036 1.0 1
"Gaia EDR3 5599918518207814528" 0.008016 -0.039768 116.20995957616 -28.41280080845 0.286816 0.0157 -1.829 0.012 1.71 0.015 14.073968 0.002861 0.657783 0.00584342519418192 14.227 0.026 0.355 0.032 -0.238 0.031 0.705 0.033 1.0 1
"Gaia EDR3 5599920133115485056" -0.002899 0.040143 116.19755159645 -28.33289034753 0.268849 0.0251 -1.826 0.021 1.787 0.024 15.375255 0.002768 0.894479 0.00512507999937562 15.492 0.028 0.522 0.036 0.302 0.03 0.864 0.037 1.0 1
"Gaia EDR3 5599912711412109056" -0.054395 -0.069303 116.13898336264 -28.44232169783 0.26896200000000003 0.0468 -1.873 0.036 1.756 0.044 16.607014 0.002801 1.028862 0.007253610480305653 16.775 0.025 0.636 0.036 0.344 0.044 1.065 0.034 1.0 1
"Gaia EDR3 5599920064395996032" 0.011105 0.035487 116.21346228694 -28.33754580543 0.246302 0.0148 -1.819 0.012 1.745 0.014 14.039225 0.002761 0.952952 0.00479146626827321 14.177 0.023 0.519 0.031 0.323 0.032 0.939 0.033 1.0 1
"Gaia EDR3 5599918793085728384" -0.011965 -0.016426 116.18724448353 -28.38945826124 0.292775 0.044 -1.872 0.035 1.738 0.042 16.315247 0.002794 1.023394 0.005881640672465464 16.483 0.024 0.655 0.032 0.418 0.036 0.975 0.03 1.0 1
"Gaia EDR3 5599924909119075072" 0.010555 0.102868 116.21283007506 -28.2701645877 0.310356 0.0349 -1.864 0.029 1.737 0.036 16.121904 0.002784 1.142477 0.005916743783534994 16.331 0.02 0.736 0.029 0.471 0.04 1.09 0.033 0.99 1
"Gaia EDR3 5599918415128611072" 0.006711 -0.057832 116.20847616963 -28.43086514226 0.268083 0.0267 -1.875 0.021 1.764 0.026 15.490894 0.00277 0.793355 0.005907016590462566 15.623 0.024 0.458 0.032 0.234 0.036 0.815 0.032 1.0 1
"Gaia EDR3 5599917899732613504" -0.127923 0.04208 116.05551510864 -28.33087566645 0.28283800000000003 0.017 -1.809 0.014 1.709 0.017 14.499874 0.002763 0.831306 0.004845866279624315 14.662 0.032 0.486 0.038 0.075 0.022 0.826 0.04 0.99 1
"Gaia EDR3 5599922847534862080" -0.048652 0.040293 116.1455722413 -28.33272840996 0.262522 0.0692 -1.851 0.056 1.794 0.064 17.384281 0.002848 1.310051 0.010998384108586133 17.709 0.026 0.805 0.038 0.404 0.043 1.306 0.038 1.0 1
"Gaia EDR3 5599918410823219968" 0.010044 -0.056496 116.21226710643 -28.42952879285 0.26595399999999997 0.0247 -1.871 0.019 1.729 0.025 15.288024 0.002769 0.844323 0.008837823827164694 15.425 0.033 0.433 0.04 0.198 0.033 0.791 0.036 1.0 1
"Gaia EDR3 5599918273384163072" -0.014372 -0.079806 116.18449863855 -28.45283792823 0.309338 0.0568 -1.862 0.045 1.725 0.057 17.020084 0.002813 1.114916 0.00781649537836491 17.224 0.029 0.708 0.039 0.352 0.049 1.136 0.036 1.0 1
"Gaia EDR3 5599922160339965440" 0.078216 0.094971 116.28966023085 -28.27803308638 0.316965 0.0301 -1.827 0.025 1.792 0.03 15.621673 0.002777 0.977859 0.006905711621549223 15.806 0.022 0.61 0.03 0.388 0.03 0.987 0.029 0.99 1
"Gaia EDR3 5599921748023119104" 0.059155 0.083907 116.26802359941 -28.28910951278 0.26425 0.0161 -1.829 0.013 1.706 0.017 14.199453 0.002764 0.84401 0.004836839463947506 14.308 0.022 0.517 0.029 0.23 0.03 0.838 0.027 0.99 1
"Gaia EDR3 5599864332898780928" 0.024715 -0.151103 116.22897519952 -28.52413356792 0.277548 0.0754 -1.803 0.064 1.707 0.072 17.411858 0.002859 1.16997 0.010756998930928645 17.578 0.04 0.78 0.053 0.209 0.052 1.149 0.046 0.99 1
"Gaia EDR3 5599912367814718464" -0.032884 -0.096026 116.16343764706 -28.46905350071 0.238637 0.0398 -1.807 0.033 1.728 0.039 16.369059 0.002791 1.152 0.0067973013027230154 16.591 0.029 0.702 0.038 0.369 0.038 1.185 0.037 1.0 1
"Gaia EDR3 5599918724366249856" -0.003427 -0.02898 116.19694940563 -28.40201274986 0.268194 0.0214 -1.836 0.018 1.7 0.02 14.842463 0.002769 0.911274 0.00491618439442623 15.01 0.023 0.539 0.029 0.195 0.029 0.921 0.029 1.0 1
"Gaia EDR3 5599920030036282240" -0.008912 0.029093 116.19071937461 -28.34393963741 0.23358 0.0408 -1.807 0.033 1.766 0.041 16.307642 0.002795 1.029411 0.006344170552562407 16.445 0.023 0.639 0.033 0.456 0.032 0.966 0.032 1.0 1
"Gaia EDR3 5599922916254351360" -0.068403 0.054212 116.12314306225 -28.31879870059 0.237405 0.028 -1.823 0.023 1.773 0.027 15.633626 0.002771 1.049197 0.005497104783429183 15.832 0.022 0.683 0.034 0.364 0.037 0.968 0.035 0.99 1
"Gaia EDR3 5599871479724092288" 0.017721 -0.069051 116.22099827078 -28.44208214593 0.236168 0.0406 -1.815 0.032 1.781 0.04 16.396885 0.002789 1.009639 0.006075663091383524 16.58 0.027 0.617 0.036 0.33 0.042 0.988 0.033 1.0 1
"Gaia EDR3 5599923019333618304" -0.112191 0.037358 116.07338201938 -28.33561579141 0.24458799999999997 0.0238 -1.851 0.019 1.72 0.023 15.232512 0.00277 0.770092 0.005014823626011188 15.355 0.031 0.481 0.037 0.087 0.024 0.746 0.037 0.99 1
"Gaia EDR3 5599918891859682432" 0.017183 -0.023024 116.22037824827 -28.39605566466 0.247987 0.0694 -1.819 0.058 1.704 0.069 17.339964 0.002927 1.28076 0.013118987499041227 17.667 0.027 0.794 0.038 0.412 0.049 1.271 0.032 1.0 1
"Gaia EDR3 5599918724366239872" -0.000167 -0.01567 116.20065534658 -28.38870290821 0.260865 0.0172 -1.842 0.014 1.801 0.016 14.327167 0.002764 0.806505 0.004801248587607186 14.41 0.024 0.436 0.031 0.119 0.032 0.739 0.032 1.0 1
"Gaia EDR3 5599920889029663360" 0.069916 0.054756 116.28026604179 -28.31825419184 0.23316 0.0286 -1.825 0.023 1.735 0.028 15.503491 0.002776 0.988696 0.005470628848679098 15.684 0.017 0.566 0.026 0.407 0.032 "" "" 0.99 1
