# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5599919548999966080" 13.81300 0.12600 3.44776 0.19361 2.76212 0.27723 0.47
"Gaia EDR3 5599918312049410432" 13.81500 0.11100 3.44697 0.19366 2.76374 0.27755 0.47
"Gaia EDR3 5599873197711146624" 13.87100 0.45300 3.44693 0.19141 2.74445 0.27283 0.46
"Gaia EDR3 5599920064395996032" 14.17700 0.32300 3.35691 0.17160 2.64827 0.25235 0.46
"Gaia EDR3 5599918518207814528" 14.22700 -0.23800 3.30738 0.17328 2.64422 0.25106 0.47
"Gaia EDR3 5599921748023119104" 14.30800 0.23000 3.29941 0.16855 2.58984 0.23736 0.47
"Gaia EDR3 5599918724366239872" 14.41000 0.11900 3.24592 0.16246 2.54169 0.23016 0.46
"Gaia EDR3 5599917899732613504" 14.66200 0.07500 3.12064 0.15459 2.41611 0.20856 0.40
"Gaia EDR3 5599871101767201408" 14.71300 0.16700 3.09801 0.14722 2.38758 0.20544 0.51
"Gaia EDR3 5599912986290078848" 14.78500 0.12700 3.05603 0.14228 2.34844 0.19908 0.45
"Gaia EDR3 5599918621287081088" 14.83300 0.13000 3.02638 0.13983 2.32090 0.19931 0.44
"Gaia EDR3 5599921748023119360" 14.89600 0.33500 2.99205 0.13734 2.28084 0.19278 0.59
"Gaia EDR3 5599919548999967616" 14.97600 0.17000 2.95011 0.13286 2.23614 0.19015 0.45
"Gaia EDR3 5599918724366249856" 15.01000 0.19500 2.93081 0.13029 2.21394 0.18464 0.50
"Gaia EDR3 5599871342285140224" 15.09900 0.19400 2.87735 0.12831 2.15996 0.18019 0.47
"Gaia EDR3 5599922984973859968" 15.18000 0.19300 2.82658 0.12551 2.10921 0.18406 0.44
"Gaia EDR3 5599872029480080640" 15.20400 0.27500 2.80921 0.12241 2.10342 0.18094 0.63
"Gaia EDR3 5599911886778442368" 15.23300 0.15500 2.79168 0.12071 2.08183 0.18295 0.33
"Gaia EDR3 5599923019333618304" 15.35500 0.08700 2.71364 0.12168 2.02562 0.17271 0.28
"Gaia EDR3 5599918410823219968" 15.42500 0.19800 2.67342 0.12124 1.97725 0.16689 0.32
"Gaia EDR3 5599920133115485056" 15.49200 0.30200 2.62818 0.12449 1.94668 0.16019 0.59
"Gaia EDR3 5599918415128611072" 15.62300 0.23400 2.54100 0.12150 1.87881 0.15650 0.30
"Gaia EDR3 5599920889029663360" 15.68400 0.40700 2.49125 0.11896 1.86313 0.15368 0.69
"Gaia EDR3 5599919789518162816" 15.68600 0.20700 2.49492 0.12096 1.85728 0.16215 0.25
"Gaia EDR3 5599919205402556544" 15.71600 0.35600 2.47667 0.11623 1.84240 0.15457 0.62
"Gaia EDR3 5599918724366238080" 15.74000 0.31300 2.46412 0.11579 1.82991 0.15346 0.46
"Gaia EDR3 5599918690006518272" 15.77800 0.31100 2.43730 0.11328 1.81021 0.15609 0.42
"Gaia EDR3 5599919411561048960" 15.77800 0.35300 2.43638 0.11471 1.81405 0.15236 0.57
"Gaia EDR3 5599922160339965440" 15.80600 0.38800 2.41698 0.11326 1.79896 0.14755 0.64
"Gaia EDR3 5599864573416999808" 15.82100 0.27200 2.40722 0.11191 1.78338 0.15264 0.28
"Gaia EDR3 5599922916254351360" 15.83200 0.36400 2.40323 0.11140 1.78200 0.14834 0.57
"Gaia EDR3 5599923878327068160" 15.88300 0.26100 2.36359 0.10434 1.75153 0.15371 0.25
"Gaia EDR3 5599920957749149952" 15.90800 0.41900 2.34812 0.10363 1.74484 0.14191 0.65
"Gaia EDR3 5599919583359725696" 15.99000 0.28000 2.29655 0.09778 1.68957 0.14582 0.26
"Gaia EDR3 5599918346409169792" 15.99300 0.28800 2.29457 0.09747 1.68831 0.14661 0.26
"Gaia EDR3 5599912677052345600" 16.02900 0.29100 2.27290 0.09435 1.66740 0.14396 0.26
"Gaia EDR3 5599919411561044736" 16.04800 0.32500 2.26414 0.09394 1.66268 0.14094 0.31
"Gaia EDR3 5599919995676561920" 16.08500 0.36400 2.24208 0.09093 1.64566 0.13573 0.41
"Gaia EDR3 5599871342285140480" 16.11300 0.31300 2.22128 0.08944 1.62609 0.13405 0.28
"Gaia EDR3 5599919823877883648" 16.15200 0.34800 2.19910 0.08938 1.61238 0.12887 0.33
"Gaia EDR3 5599913432966640256" 16.17000 0.30600 2.18347 0.08977 1.60221 0.12903 0.28
"Gaia EDR3 5599922710095948160" 16.18400 0.31500 2.17496 0.08956 1.59652 0.12855 0.29
"Gaia EDR3 5599873472588907264" 16.18700 0.47800 2.17387 0.09364 1.61633 0.12736 0.62
"Gaia EDR3 5599923122412788864" 16.19200 0.27700 2.16710 0.08842 1.59140 0.12911 0.29
"Gaia EDR3 5599871892040949632" 16.19300 0.27200 2.16641 0.08860 1.59013 0.12875 0.29
"Gaia EDR3 5599919171042835968" 16.19800 0.36600 2.17043 0.08919 1.59281 0.12525 0.37
"Gaia EDR3 5599919583359735168" 16.27400 0.37300 2.12253 0.08545 1.56957 0.12564 0.37
"Gaia EDR3 5599918586927321856" 16.27900 0.32600 2.11355 0.08461 1.56111 0.12379 0.30
"Gaia EDR3 5599924909119075072" 16.33100 0.47100 2.09084 0.08569 1.56413 0.12256 0.58
"Gaia EDR3 5599912260429778304" 16.33100 0.35700 2.08506 0.08429 1.54872 0.12155 0.33
"Gaia EDR3 5599923534729614848" 16.33200 0.37600 2.08679 0.08409 1.55022 0.12144 0.36
"Gaia EDR3 5599919823877881472" 16.33200 0.40400 2.08922 0.08448 1.55294 0.12287 0.44
"Gaia EDR3 5599918793085723648" 16.33500 0.48700 2.08699 0.08596 1.56324 0.12256 0.59
"Gaia EDR3 5599919926957083136" 16.36600 0.41100 2.07080 0.08325 1.53919 0.11807 0.44
"Gaia EDR3 5599919892597370624" 16.37000 0.38400 2.06557 0.08280 1.53499 0.11960 0.36
"Gaia EDR3 5599919342841941888" 16.42000 0.60400 2.03798 0.08766 1.53689 0.12097 0.55
"Gaia EDR3 5599918380768882944" 16.42500 0.45100 2.04032 0.08396 1.52775 0.11743 0.49
"Gaia EDR3 5599920030036282240" 16.44500 0.45600 2.03097 0.08353 1.52357 0.11670 0.49
"Gaia EDR3 5599918483848083200" 16.45600 0.33500 2.01795 0.08425 1.51113 0.11936 0.34
"Gaia EDR3 5599919480280905344" 16.46700 0.42100 2.01723 0.08403 1.51472 0.11709 0.40
"Gaia EDR3 5599871823321471872" 16.47500 0.38400 2.01045 0.08297 1.50901 0.12080 0.36
"Gaia EDR3 5599918793085728384" 16.48300 0.41800 2.00831 0.08319 1.51020 0.11972 0.40
"Gaia EDR3 5599919308482205824" 16.56000 0.54900 1.96099 0.08390 1.49459 0.12381 0.49
"Gaia EDR3 5599871479724092544" 16.58000 0.40700 1.94611 0.07995 1.47429 0.12301 0.38
"Gaia EDR3 5599871479724092288" 16.58000 0.33000 1.94593 0.08244 1.47048 0.12288 0.39
"Gaia EDR3 5599912367814718464" 16.59100 0.36900 1.93968 0.07984 1.46875 0.12365 0.38
"Gaia EDR3 5599923672168542208" 16.59800 0.41200 1.93712 0.07815 1.46912 0.12285 0.38
"Gaia EDR3 5599918690006525312" 16.65700 0.42900 1.90404 0.07722 1.45088 0.12364 0.36
"Gaia EDR3 5599919548999968896" 16.65800 0.39300 1.90197 0.07867 1.45192 0.12302 0.36
"Gaia EDR3 5599919926957072640" 16.67600 0.43200 1.89617 0.07702 1.44431 0.12511 0.36
"Gaia EDR3 5599919136683069184" 16.67600 0.48200 1.89834 0.07717 1.44683 0.12344 0.39
"Gaia EDR3 5599919755158447488" 16.67700 0.39700 1.89388 0.07777 1.44413 0.12455 0.36
"Gaia EDR3 5599920614151757184" 16.69000 0.56800 1.89106 0.07866 1.44747 0.12452 0.44
"Gaia EDR3 5599918655646807296" 16.76500 0.44700 1.85763 0.07756 1.42225 0.12373 0.36
"Gaia EDR3 5599912711412109056" 16.77500 0.34400 1.85194 0.08056 1.41653 0.12418 0.42
"Gaia EDR3 5599919514640642304" 16.77500 0.44000 1.85333 0.07823 1.41903 0.12443 0.37
"Gaia EDR3 5599919205403594880" 16.79200 0.45600 1.84552 0.07793 1.41461 0.12501 0.37
"Gaia EDR3 5599919755158448384" 16.80200 0.43300 1.83968 0.07883 1.41133 0.12408 0.38
"Gaia EDR3 5599919548999978496" 16.84200 0.41300 1.82200 0.08083 1.40295 0.12546 0.40
"Gaia EDR3 5599872441796900608" 16.89100 0.56300 1.80350 0.08097 1.39917 0.12678 0.40
"Gaia EDR3 5599919823877877760" 16.93300 0.42100 1.77967 0.08065 1.38774 0.12769 0.40
"Gaia EDR3 5599918861805160704" 16.96400 0.42400 1.76585 0.08200 1.38188 0.12896 0.40
"Gaia EDR3 5599870792529516160" 16.96500 0.33500 1.76433 0.08369 1.38084 0.12978 0.45
"Gaia EDR3 5599918380768889216" 16.99600 0.34900 1.74750 0.08529 1.37508 0.13139 0.44
"Gaia EDR3 5599918690007541504" 17.00900 0.44100 1.74459 0.08452 1.37281 0.13125 0.38
"Gaia EDR3 5599918861805165184" 17.01300 0.42900 1.74218 0.08485 1.37245 0.13135 0.39
"Gaia EDR3 5599913840978232576" 17.02400 0.39900 1.73598 0.08592 1.36954 0.13118 0.41
"Gaia EDR3 5599865088813034880" 17.03000 0.32800 1.73187 0.08752 1.36837 0.13316 0.44
"Gaia EDR3 5599918449488324608" 17.08300 0.34100 1.71199 0.08846 1.35974 0.13575 0.42
"Gaia EDR3 5599918621287079424" 17.12000 0.42100 1.70214 0.08763 1.35394 0.13583 0.37
"Gaia EDR3 5599919514640248832" 17.16000 0.42600 1.69160 0.08881 1.34827 0.13696 0.36
"Gaia EDR3 5599923637808817792" 17.16400 0.45300 1.69152 0.08875 1.34787 0.13757 0.35
"Gaia EDR3 5599918273384163072" 17.22400 0.35200 1.66773 0.09265 1.33601 0.14134 0.41
"Gaia EDR3 5599919789518162688" 17.24000 0.48300 1.66424 0.09222 1.33499 0.14201 0.35
"Gaia EDR3 5599920064396006784" 17.28100 0.48400 1.65005 0.09447 1.32885 0.14425 0.36
"Gaia EDR3 5599920236194708352" 17.31100 0.43100 1.63966 0.09484 1.32360 0.14568 0.37
"Gaia EDR3 5599864882654672384" 17.33400 0.30000 1.63051 0.09679 1.31968 0.14838 0.43
"Gaia EDR3 5599919583359737472" 17.35800 0.30400 1.62365 0.09903 1.31685 0.14903 0.43
"Gaia EDR3 5599873678747333504" 17.38400 0.49900 1.62354 0.09772 1.31537 0.14931 0.36
"Gaia EDR3 5599916692836438912" 17.42500 0.28200 1.60504 0.10518 1.31041 0.15115 0.42
"Gaia EDR3 5599923740882534400" 17.43500 0.41700 1.60671 0.10379 1.30924 0.15039 0.37
"Gaia EDR3 5599917109458652544" 17.45900 0.24800 1.59579 0.10813 1.30675 0.15085 0.43
"Gaia EDR3 5599919789518161024" 17.46000 0.43600 1.60074 0.10656 1.30791 0.15146 0.37
"Gaia EDR3 5599916765861253760" 17.46800 0.34100 1.59565 0.10880 1.30694 0.15117 0.40
"Gaia EDR3 5599918964884357120" 17.52500 0.44700 1.58664 0.11102 1.30350 0.15353 0.36
"Gaia EDR3 5599920438048296576" 17.55100 0.36700 1.58131 0.11357 1.30182 0.15359 0.38
"Gaia EDR3 5599864332898780928" 17.57800 0.20900 1.57678 0.11650 1.30079 0.15326 0.42
"Gaia EDR3 5599871926400686336" 17.58300 0.33800 1.57681 0.11592 1.30129 0.15380 0.38
"Gaia EDR3 5599919961316803584" 17.60600 0.46000 1.57709 0.11634 1.30084 0.15435 0.35
"Gaia EDR3 5599871750298561408" 17.64700 0.33800 1.57176 0.11932 1.29840 0.15508 0.38
"Gaia EDR3 5599864951374117632" 17.65600 0.34100 1.57149 0.11946 1.29872 0.15483 0.37
"Gaia EDR3 5599919617719453824" 17.66100 0.38600 1.57142 0.11963 1.29842 0.15492 0.36
"Gaia EDR3 5599918891859682432" 17.66700 0.41200 1.57120 0.11987 1.29802 0.15513 0.36
"Gaia EDR3 5599912711412115072" 17.67800 0.26200 1.56934 0.12112 1.29694 0.15516 0.40
"Gaia EDR3 5599919579054550912" 17.69100 0.36700 1.56874 0.12151 1.29533 0.15661 0.36
"Gaia EDR3 5599918994938984704" 17.69900 0.38100 1.56820 0.12192 1.29358 0.15741 0.36
"Gaia EDR3 5599922847534862080" 17.70900 0.40400 1.56823 0.12193 1.29238 0.15754 0.36
"Gaia EDR3 5599912397868861440" 17.74100 0.29300 1.56387 0.12317 1.28611 0.15852 0.39
"Gaia EDR3 5599913810923752320" 17.75800 0.31500 1.56261 0.12360 1.28328 0.15923 0.38
"Gaia EDR3 5599918479542764544" 17.77800 0.34200 1.56122 0.12400 1.27885 0.16229 0.38
"Gaia EDR3 5599913845283472384" 17.80500 0.29000 1.56024 0.12482 1.26781 0.16672 0.39
"Gaia EDR3 5599919892597372032" 17.80800 0.37400 1.56036 0.12480 1.26813 0.16651 0.38
"Gaia EDR3 5599919544694789760" 17.84800 0.33900 1.55590 0.12535 1.25281 0.17578 0.39
"Gaia EDR3 5599920785950460416" 17.85800 0.48000 1.55645 0.12499 1.24999 0.17685 0.39
"Gaia EDR3 5599919995676564224" 17.86700 0.34100 1.55578 0.12549 1.24752 0.17746 0.39
"Gaia EDR3 5599918655646800512" 17.90500 0.40400 1.55360 0.12631 1.22918 0.18121 0.39
"Gaia EDR3 5599919171042835328" 17.91000 0.28900 1.55138 0.12688 1.22632 0.18169 0.40
"Gaia EDR3 5599918758727015296" 17.92600 0.38300 1.54787 0.12763 1.21668 0.18379 0.40
"Gaia EDR3 5599912951930326272" 17.93700 0.23500 1.54500 0.12804 1.20997 0.18578 0.41
"Gaia EDR3 5599919171042825984" 17.93800 0.39300 1.54510 0.12791 1.20924 0.18524 0.40
"Gaia EDR3 5599918273384161920" 17.96800 0.23500 1.53726 0.13050 1.19042 0.19053 0.42
"Gaia EDR3 5599919372895954432" 17.97600 0.33400 1.53709 0.13068 1.18310 0.19150 0.41
"Gaia EDR3 5599913806618407808" 18.00300 0.31200 1.52473 0.13715 1.16144 0.19560 0.41
"Gaia EDR3 5599871303621762560" 18.03600 0.44100 1.51832 0.14057 1.14633 0.19546 0.42
"Gaia EDR3 5599919441615530368" 18.07200 0.34500 1.49795 0.14902 1.12646 0.19716 0.43
"Gaia EDR3 5599920231889778304" 18.11000 0.31200 1.47884 0.15538 1.10481 0.19909 0.43
"Gaia EDR3 5599912642692634624" 18.13400 0.27500 1.46087 0.16066 1.08753 0.19777 0.44
"Gaia EDR3 5599919926951630336" 18.20400 0.38600 1.41711 0.17354 1.04174 0.18801 0.45
"Gaia EDR3 5599920785950950528" 18.21300 0.54700 1.41724 0.17388 1.03404 0.18544 0.45
"Gaia EDR3 5599918861799666560" 18.27300 0.40200 1.36586 0.18076 1.00344 0.17521 0.46
"Gaia EDR3 5599916830275449344" 18.28200 0.36000 1.35571 0.18198 0.99905 0.17304 0.46
"Gaia EDR3 5599922911949423104" 18.31000 0.34800 1.31812 0.17878 0.98338 0.16790 0.47
"Gaia EDR3 5599913639126024064" 18.38100 0.23600 1.23504 0.15358 0.94694 0.15115 0.47
"Gaia EDR3 5599918960579218048" 18.45200 0.44800 1.18023 0.11119 0.91496 0.12569 0.48
"Gaia EDR3 5599924355058568960" 18.51200 0.34900 1.14804 0.07085 0.89954 0.11250 0.48
"Gaia EDR3 5599864843990595328" 18.54400 0.35600 1.14358 0.06214 0.89451 0.10720 0.47
"Gaia EDR3 5599919235457198976" 18.56600 0.50000 1.14267 0.05742 0.89318 0.10434 0.49
"Gaia EDR3 5599918513902536576" 18.57400 0.39300 1.14070 0.05478 0.89274 0.10486 0.48
"Gaia EDR3 5599871445354352000" 18.58500 0.30700 1.13862 0.05385 0.89121 0.10495 0.47
"Gaia EDR3 5599923255546828928" 18.60800 0.37500 1.13862 0.05041 0.89042 0.10254 0.47
"Gaia EDR3 5599871376634885248" 18.62000 0.37000 1.13819 0.04917 0.89009 0.10260 0.47
"Gaia EDR3 5599918415128603520" 18.67200 0.30300 1.13652 0.04798 0.88807 0.10226 0.46
"Gaia EDR3 5599919785213027840" 18.68200 0.46400 1.13855 0.04774 0.89045 0.10159 0.48
"Gaia EDR3 5599919475975256320" 18.68700 0.44800 1.13845 0.04776 0.89029 0.10171 0.48
"Gaia EDR3 5599865462466173184" 18.69800 0.40300 1.13799 0.04772 0.88971 0.10225 0.47
"Gaia EDR3 5599919407257188608" 18.73000 0.34600 1.13701 0.04803 0.88837 0.10124 0.46
"Gaia EDR3 5599918415123230336" 18.73700 0.21200 1.13443 0.04828 0.88700 0.10249 0.44
"Gaia EDR3 5599911882472513920" 18.74400 0.33300 1.13667 0.04817 0.88797 0.10119 0.46
"Gaia EDR3 5599920030036283392" 18.94800 0.48800 1.13808 0.04817 0.88997 0.10110 0.48
"Gaia EDR3 5599923947046515840" 19.03100 0.35300 1.13659 0.04803 0.88672 0.10123 0.38
"Gaia EDR3 5599921743718403072" 19.03500 0.52500 1.13639 0.04832 0.88944 0.10123 0.51
"Gaia EDR3 5599871857671205632" 19.14200 0.46100 1.13301 0.04788 0.88587 0.10079 0.43
"Gaia EDR3 5599871612859546752" 19.21100 0.53600 1.12513 0.04772 0.88233 0.09872 0.49
"Gaia EDR3 5599919475975268608" 19.21800 0.54400 1.12397 0.04768 0.88186 0.09934 0.50
"Gaia EDR3 5599919789512836608" 19.38900 0.15900 1.07346 0.05128 0.85289 0.10509 0.31
"Gaia EDR3 5599918823140178688" 19.41300 0.72300 1.08627 0.05079 0.85687 0.09944 0.54
"Gaia EDR3 5599918964880656768" 19.86500 0.66300 1.01230 0.05054 0.83843 0.10416 0.16
