# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5601198418464599424" 12.76500 -0.34600 1.55463 0.25567 1.35118 0.25907 0.52
"Gaia EDR3 5601926020282068864" 13.16700 0.04700 1.55447 0.25539 1.34869 0.25814 0.53
"Gaia EDR3 5601175775395305728" 13.27500 0.01100 1.55443 0.25502 1.34887 0.25743 0.54
"Gaia EDR3 5601924611532836864" 13.44800 -0.02600 1.55469 0.25421 1.34958 0.25722 0.54
"Gaia EDR3 5601173816890316160" 13.85700 -0.02900 1.55490 0.24995 1.34597 0.24882 0.54
"Gaia EDR3 5601175053840856960" 14.31300 0.09200 1.54965 0.24257 1.32802 0.22903 0.54
"Gaia EDR3 5601926123361268224" 14.57400 0.07100 1.54260 0.23284 1.31382 0.21610 0.54
"Gaia EDR3 5601925023849719040" 14.62300 0.00300 1.54006 0.22963 1.31131 0.21446 0.54
"Gaia EDR3 5601924371014653312" 14.72900 1.29700 1.53760 0.23534 1.29383 0.21240 0.48
"Gaia EDR3 5601172579939747072" 14.84000 -0.04700 1.53043 0.21950 1.30600 0.20780 0.55
"Gaia EDR3 5601175191279790720" 14.91100 0.11000 1.52833 0.21775 1.30442 0.20588 0.56
"Gaia EDR3 5601926673117061888" 15.29800 0.26900 1.50475 0.19762 1.27915 0.18176 0.62
"Gaia EDR3 5601175947194015360" 15.43900 0.22100 1.49458 0.18876 1.26981 0.16791 0.62
"Gaia EDR3 5601926844915762048" 15.45200 0.19500 1.49313 0.18749 1.26770 0.16559 0.62
"Gaia EDR3 5601175947194019584" 15.46200 0.18800 1.49215 0.18686 1.26863 0.16558 0.61
"Gaia EDR3 5601926192080752128" 15.53300 0.30300 1.48901 0.18362 1.26159 0.16140 0.63
"Gaia EDR3 5601171102470914688" 15.72000 0.30500 1.47673 0.17184 1.23860 0.14260 0.63
"Gaia EDR3 5601925985922333312" 15.77200 0.22300 1.47166 0.16821 1.23363 0.13896 0.62
"Gaia EDR3 5601175122560337152" 15.78200 0.28400 1.47183 0.16781 1.23558 0.13878 0.63
"Gaia EDR3 5601926123361269504" 15.97200 0.26000 1.45596 0.15420 1.20793 0.12957 0.64
"Gaia EDR3 5601926501318392960" 16.01800 0.23100 1.45077 0.15140 1.20070 0.12717 0.63
"Gaia EDR3 5601175878474530816" 16.02100 0.31700 1.45264 0.15141 1.20649 0.12474 0.62
"Gaia EDR3 5601175259999276544" 16.05500 0.27600 1.44723 0.14827 1.19822 0.12403 0.63
"Gaia EDR3 5601176050273215104" 16.05700 0.37400 1.44954 0.14967 1.20098 0.12409 0.58
"Gaia EDR3 5601930796285249920" 16.16200 0.14200 1.43379 0.14056 1.17179 0.12404 0.57
"Gaia EDR3 5601172751738424448" 16.24800 0.25800 1.42433 0.13440 1.16271 0.11966 0.62
"Gaia EDR3 5601926673117062272" 16.32000 0.39000 1.41964 0.13082 1.15705 0.11274 0.53
"Gaia EDR3 5601175363078525952" 16.35000 0.33000 1.41391 0.12783 1.15100 0.11490 0.56
"Gaia EDR3 5601175255689651200" 16.36500 0.30000 1.41104 0.12657 1.14778 0.11310 0.58
"Gaia EDR3 5601175500517456384" 16.43000 0.29900 1.40197 0.12167 1.13531 0.11218 0.57
"Gaia EDR3 5601930590126811520" 16.64000 0.07800 1.36334 0.10688 1.09827 0.10402 0.55
"Gaia EDR3 5601926466958659328" 16.64300 0.34900 1.36991 0.10832 1.10923 0.10351 0.47
"Gaia EDR3 5601927635189754112" 16.75500 0.29200 1.34809 0.10354 1.08471 0.10505 0.53
"Gaia EDR3 5601950415697666304" 16.76500 0.35400 1.35011 0.10389 1.08645 0.10456 0.46
"Gaia EDR3 5601175947194021376" 16.77500 0.29900 1.34492 0.10297 1.08404 0.10478 0.52
"Gaia EDR3 5601175912834291712" 16.78300 0.33700 1.34601 0.10306 1.08521 0.10557 0.47
"Gaia EDR3 5601926535678121088" 16.85600 0.25100 1.32748 0.10043 1.06967 0.09869 0.56
"Gaia EDR3 5601926192080754560" 16.87200 0.33300 1.32826 0.09924 1.06497 0.10228 0.46
"Gaia EDR3 5601172751738432384" 16.87300 0.23800 1.32275 0.09899 1.06717 0.10037 0.57
"Gaia EDR3 5601175221329900928" 16.92000 0.45800 1.32452 0.09971 1.05849 0.10534 0.45
"Gaia EDR3 5601931620918971136" 16.98200 0.00400 1.29658 0.09633 1.04700 0.09777 0.54
"Gaia EDR3 5601924336654928640" 16.98700 0.16700 1.29862 0.09611 1.04739 0.09623 0.59
"Gaia EDR3 5601174847682375936" 17.02400 0.32600 1.29887 0.09614 1.03837 0.10081 0.44
"Gaia EDR3 5601926157721005696" 17.02500 0.25300 1.29452 0.09543 1.04071 0.09758 0.54
"Gaia EDR3 5601175534877184512" 17.04300 0.23300 1.28968 0.09504 1.03794 0.09651 0.56
"Gaia EDR3 5601924572863156736" 17.04800 0.22700 1.28799 0.09474 1.03818 0.09555 0.57
"Gaia EDR3 5601930487047613568" 17.09400 0.07300 1.27709 0.09401 1.03057 0.09286 0.56
"Gaia EDR3 5601924435424196736" 17.09600 0.15200 1.27836 0.09415 1.02918 0.09385 0.59
"Gaia EDR3 5601175466157700608" 17.10600 0.32800 1.28335 0.09528 1.01705 0.09856 0.43
"Gaia EDR3 5601173438933234816" 17.11900 0.19400 1.27490 0.09405 1.02005 0.09515 0.59
"Gaia EDR3 5601175019481134464" 17.13200 0.35600 1.28090 0.09510 1.01472 0.09906 0.42
"Gaia EDR3 5601175874164962944" 17.19100 0.25200 1.26456 0.09337 1.01093 0.09763 0.52
"Gaia EDR3 5601928902194953984" 17.20100 0.16800 1.25985 0.09381 1.01488 0.09538 0.58
"Gaia EDR3 5601927733959620736" 17.24600 0.16500 1.25089 0.09396 1.00182 0.09738 0.58
"Gaia EDR3 5601926295159979008" 17.25300 0.15800 1.24946 0.09381 1.00131 0.09645 0.58
"Gaia EDR3 5601199689774918144" 17.26000 0.34100 1.25625 0.09405 0.99954 0.09935 0.43
"Gaia EDR3 5601175225639541504" 17.29900 0.32200 1.24829 0.09401 0.99389 0.09884 0.43
"Gaia EDR3 5601172957896915456" 17.30500 0.26700 1.24442 0.09337 0.99292 0.09868 0.48
"Gaia EDR3 5601171136830638208" 17.33000 0.32900 1.24320 0.09382 0.98602 0.09737 0.43
"Gaia EDR3 5601926432598914048" 17.35600 0.21200 1.23219 0.09294 0.98492 0.09483 0.53
"Gaia EDR3 5601927046764848128" 17.35700 0.24800 1.23375 0.09285 0.98415 0.09679 0.49
"Gaia EDR3 5601175088200614272" 17.38600 0.28300 1.23047 0.09250 0.97984 0.09523 0.45
"Gaia EDR3 5601173988688973696" 17.38900 0.42000 1.23512 0.09340 0.97799 0.09830 0.44
"Gaia EDR3 5601926123361274368" 17.41800 0.25400 1.22298 0.09188 0.97309 0.09586 0.47
"Gaia EDR3 5601175358768860672" 17.47100 0.16700 1.20993 0.09234 0.96488 0.09120 0.55
"Gaia EDR3 5601924577173072256" 17.48500 0.17600 1.20835 0.09240 0.96229 0.09121 0.55
"Gaia EDR3 5601926295159973888" 17.52800 0.17100 1.20145 0.09296 0.95489 0.09188 0.55
"Gaia EDR3 5601175156920070016" 17.53300 0.50600 1.21107 0.09236 0.95538 0.09816 0.47
"Gaia EDR3 5601173228465005312" 17.53500 0.27800 1.20439 0.09275 0.94918 0.09353 0.46
"Gaia EDR3 5601175466158324608" 17.53700 0.18800 1.20071 0.09309 0.95212 0.09289 0.54
"Gaia EDR3 5601927806988426368" 17.54100 0.22700 1.20137 0.09310 0.95079 0.09309 0.51
"Gaia EDR3 5601198487184079104" 17.58200 0.35500 1.19955 0.09272 0.94493 0.09499 0.45
"Gaia EDR3 5601172545580022784" 17.59800 0.28900 1.19480 0.09285 0.94181 0.09350 0.46
"Gaia EDR3 5601926604397599616" 17.64800 0.24700 1.18384 0.09255 0.93711 0.09248 0.48
"Gaia EDR3 5601175706666776832" 17.66900 0.27600 1.18171 0.09203 0.93363 0.09307 0.46
"Gaia EDR3 5601175569236892544" 17.68500 0.19800 1.17574 0.09175 0.93384 0.09068 0.51
