ID MP sel
"Gaia EDR3 5599873197711146624" 1.0 1
"Gaia EDR3 5599918312049410432" 1.0 1
"Gaia EDR3 5599919548999966080" 1.0 1
"Gaia EDR3 5599920064395996032" 1.0 1
"Gaia EDR3 5599918518207814528" 1.0 1
"Gaia EDR3 5599921748023119104" 1.0 1
"Gaia EDR3 5599918724366239872" 1.0 1
"Gaia EDR3 5599917899732613504" 1.0 1
"Gaia EDR3 5599871101767201408" 1.0 1
"Gaia EDR3 5599918621287081088" 1.0 1
"Gaia EDR3 5599912986290078848" 1.0 1
"Gaia EDR3 5599921748023119360" 1.0 1
"Gaia EDR3 5599918724366249856" 1.0 1
"Gaia EDR3 5599919548999967616" 1.0 1
"Gaia EDR3 5599871342285140224" 1.0 1
"Gaia EDR3 5599872029480080640" 1.0 1
"Gaia EDR3 5599922984973859968" 1.0 1
"Gaia EDR3 5599911886778442368" 1.0 1
"Gaia EDR3 5599923019333618304" 1.0 1
"Gaia EDR3 5599918410823219968" 1.0 1
"Gaia EDR3 5599920133115485056" 1.0 1
"Gaia EDR3 5599918415128611072" 1.0 1
"Gaia EDR3 5599920889029663360" 1.0 1
"Gaia EDR3 5599918724366238080" 1.0 1
"Gaia EDR3 5599919789518162816" 1.0 1
"Gaia EDR3 5599919205402556544" 1.0 1
"Gaia EDR3 5599919411561048960" 1.0 1
"Gaia EDR3 5599918690006518272" 1.0 1
"Gaia EDR3 5599922160339965440" 1.0 1
"Gaia EDR3 5599922916254351360" 1.0 1
"Gaia EDR3 5599864573416999808" 1.0 1
"Gaia EDR3 5599923878327068160" 1.0 1
"Gaia EDR3 5599920957749149952" 1.0 1
"Gaia EDR3 5599919583359725696" 1.0 1
"Gaia EDR3 5599919411561044736" 1.0 1
"Gaia EDR3 5599918346409169792" 1.0 1
"Gaia EDR3 5599912677052345600" 1.0 1
"Gaia EDR3 5599919995676561920" 1.0 1
"Gaia EDR3 5599871342285140480" 1.0 1
"Gaia EDR3 5599873472588907264" 1.0 1
"Gaia EDR3 5599871892040949632" 1.0 1
"Gaia EDR3 5599919823877883648" 1.0 1
"Gaia EDR3 5599923122412788864" 1.0 1
"Gaia EDR3 5599919171042835968" 1.0 1
"Gaia EDR3 5599922710095948160" 1.0 1
"Gaia EDR3 5599913432966640256" 1.0 1
"Gaia EDR3 5599923534729614848" 1.0 1
