ID MP sel
"Gaia EDR3 5597788695466525184" 1.0 1
"Gaia EDR3 5597788248789911424" 1.0 1
"Gaia EDR3 5597785122054026240" 1.0 1
"Gaia EDR3 5597787595954892416" 1.0 1
"Gaia EDR3 5597784361828633984" 1.0 1
"Gaia EDR3 5597787630314634496" 1.0 1
"Gaia EDR3 5597787458516318336" 1.0 1
"Gaia EDR3 5597787527235426816" 1.0 1
"Gaia EDR3 5597783365396223744" 1.0 1
"Gaia EDR3 5597787626003777152" 1.0 1
"Gaia EDR3 5597788695466525312" 1.0 1
"Gaia EDR3 5597786015406944384" 1.0 1
"Gaia EDR3 5597789142143112320" 1.0 1
"Gaia EDR3 5597788283149647872" 1.0 1
"Gaia EDR3 5597787939552274560" 1.0 1
"Gaia EDR3 5597788248789912960" 1.0 1
"Gaia EDR3 5597784331780327040" 1.0 1
"Gaia EDR3 5597787492875693952" 1.0 1
"Gaia EDR3 5597787561595527168" 1.0 1
"Gaia EDR3 5597788248789914240" 1.0 1
"Gaia EDR3 5597787870832799616" 1.0 1
"Gaia EDR3 5597784469210897792" 1.0 1
"Gaia EDR3 5597787870832800384" 1.0 1
"Gaia EDR3 5597782991750357248" 1.0 1
"Gaia EDR3 5597788691161543040" 1.0 1
"Gaia EDR3 5597787767753599104" 1.0 1
"Gaia EDR3 5597788729826269312" 1.0 1
"Gaia EDR3 5597788523658814592" 1.0 1
"Gaia EDR3 5597787870832800896" 1.0 1
"Gaia EDR3 5600791289922228736" 1.0 1
"Gaia EDR3 5597789073423635840" 1.0 1
"Gaia EDR3 5597788523667845760" 1.0 1
"Gaia EDR3 5597788935984701184" 1.0 1
"Gaia EDR3 5597787561595529472" 1.0 1
"Gaia EDR3 5597788764185998208" 1.0 1
"Gaia EDR3 5597787733393855104" 1.0 1
"Gaia EDR3 5597788042631479808" 1.0 1
"Gaia EDR3 5597783953822931840" 1.0 1
"Gaia EDR3 5600789881172980736" 1.0 1
"Gaia EDR3 5597787900882757760" 1.0 1
"Gaia EDR3 5597788042631482624" 1.0 1
"Gaia EDR3 5597788970344434432" 1.0 1
"Gaia EDR3 5597788764185999744" 1.0 1
"Gaia EDR3 5597788970344430208" 1.0 1
"Gaia EDR3 5597788661106788352" 1.0 1
"Gaia EDR3 5597788935984700288" 1.0 1
"Gaia EDR3 5597789039063911552" 1.0 1
"Gaia EDR3 5597789004704175872" 1.0 1
"Gaia EDR3 5597788661106788480" 1.0 1
"Gaia EDR3 5597786187206060160" 1.0 1
"Gaia EDR3 5597787011839364992" 1.0 1
"Gaia EDR3 5597787595954891776" 1.0 1
"Gaia EDR3 5597789142143117184" 1.0 1
"Gaia EDR3 5597787595954886400" 1.0 1
"Gaia EDR3 5597788970344434048" 1.0 1
"Gaia EDR3 5597789176502849408" 1.0 1
"Gaia EDR3 5597784606658025088" 1.0 1
"Gaia EDR3 5597787939552277504" 1.0 1
"Gaia EDR3 5597787664674368896" 1.0 1
"Gaia EDR3 5597784194341176320" 1.0 1
"Gaia EDR3 5600791874037680512" 1.0 1
"Gaia EDR3 5597787939552274816" 1.0 1
"Gaia EDR3 5600791393001428480" 1.0 1
"Gaia EDR3 5597788283149647104" 1.0 1
"Gaia EDR3 5597787011839366400" 1.0 1
"Gaia EDR3 5597784159981432832" 1.0 1
